Title: 2020 Popular Vote Tracker | The Cook Political Report

URL Source: https://www.cookpolitical.com/vote-tracker/2020/electoral-college

Published Time: Wed, 15 Oct 2025 11:16:12 GMT

Markdown Content:
2020 Popular Vote Tracker

| State | Certified? | Biden Votes | Trump Votes | Other Votes | Biden Share | Trump Share | Other Share | Dem '20 Margin | Margin Shift vs. '16 | Raw Votes vs. '16 |
| Nebraska 3rd District | Yes | 65,854 | 222,179 | 5,879 | 22.4% | 75.6% | 2.0% | -53.2% | 1% | 8.8% |
| New Jersey | Yes | 2,608,335 | 1,883,274 | 57,744 | 57.3% | 41.4% | 1.3% | 15.9% | 1.8% | 17.4% |
| New Mexico | Yes | 501,614 | 401,894 | 20,457 | 54.3% | 43.5% | 2.2% | 10.8% | 2.6% | 15.7% |
| New York | Yes | 5,244,886 | 3,251,997 | 119,978 | 60.9% | 37.7% | 1.4% | 23.1% | 0.6% | 11.6% |
| North Dakota | Yes | 114,902 | 235,595 | 11,322 | 31.8% | 65.1% | 3.1% | -33.4% | 2.4% | 5.1% |
| Oklahoma | Yes | 503,890 | 1,020,280 | 36,529 | 32.3% | 65.4% | 2.3% | -33.1% | 3.3% | 7.4% |
| Oregon | Yes | 1,340,383 | 958,448 | 75,490 | 56.5% | 40.4% | 3.2% | 16.1% | 5.1% | 18.6% |
| Rhode Island | Yes | 307,486 | 199,922 | 10,349 | 59.4% | 38.6% | 2.0% | 20.8% | 5.3% | 11.6% |
| South Carolina | Yes | 1,091,541 | 1,385,103 | 36,685 | 43.4% | 55.1% | 1.5% | -11.7% | 2.6% | 19.5% |
| South Dakota | Yes | 150,471 | 261,043 | 11,095 | 35.6% | 61.8% | 2.6% | -26.2% | 3.6% | 14.2% |
| Tennessee | Yes | 1,143,711 | 1,852,475 | 57,665 | 37.5% | 60.7% | 1.9% | -23.2% | 2.8% | 21.8% |
| Utah | Yes | 560,282 | 865,140 | 62,867 | 37.6% | 58.1% | 4.2% | -20.5% | -2.4% | 31.5% |
| Vermont | Yes | 242,820 | 112,704 | 11,904 | 66.1% | 30.7% | 3.2% | 35.4% | 9% | 16.6% |
| Virginia | Yes | 2,413,568 | 1,962,430 | 84,526 | 54.1% | 44.0% | 1.9% | 10.1% | 4.8% | 12% |
| Washington | Yes | 2,369,612 | 1,584,651 | 133,368 | 58.0% | 38.8% | 3.3% | 19.2% | 3.5% | 21.5% |
| West Virginia | Yes | 235,984 | 545,382 | 13,286 | 29.7% | 68.6% | 1.7% | -38.9% | 3.1% | 11.4% |
| Wyoming | Yes | 73,491 | 193,559 | 9,715 | 26.6% | 69.9% | 3.5% | -43.4% | 2.9% | 8.2% |
