Title: Texas Presidential Race Results: Donald J. Trump Wins

URL Source: https://www.nytimes.com/elections/2016/results/texas-president-clinton-trump

Published Time: Tue, 03 Nov 2020 02:06:40 GMT

Markdown Content:
Aug. 1, 2017, 11:27 AM ET

| Candidate | Party | Votes | Pct. |  | E.V. |
| --- | --- | --- | --- | --- | --- |
|  | Trump Donald J. Trump | Republican Rep. | 4,685,047 | 52.2% |  | 38 |
|  | Clinton Hillary Clinton | Democrat Dem. | 3,877,868 | 43.2% |  | — |
|  | Johnson Gary Johnson | Libertarian Lib. | 283,492 | 3.2% |  | — |
|  | Stein Jill Stein | Green Green | 71,558 | 0.8% |  | — |
|  | Others Others | Independent Ind. | 51,261 | 0.6% |  | — |

8,969,226 votes,  100% reporting  (8,186 of 8,186 precincts)

President Map »

Donald J. Trump has won Texas’s 38 electoral votes. Trump has 807,179 more votes than Hillary Clinton, with 100 percent reporting. Donald J. Trump is up by 9 points with all precincts reporting.

Below are detailed results for the race. View other Texas election results on our full Texas results page. See all states on our presidential map.

| Vote by county | Trump | Clinton |
| Morris | 3,446 | 1,425 |
| Andrews | 3,927 | 836 |
| Nolan | 3,552 | 1,029 |
| Rains | 3,968 | 628 |
| Sabine | 3,998 | 614 |
| Gaines | 3,907 | 597 |
| Camp | 3,201 | 1,260 |
| Frio | 1,856 | 2,444 |
| Franklin | 3,585 | 665 |
| Live Oak | 3,464 | 742 |
| Madison | 3,351 | 881 |
| Archer | 3,786 | 394 |
| Brewster | 2,077 | 1,873 |
| Marion | 2,983 | 1,165 |
| Deaf Smith | 2,911 | 1,185 |
| Karnes | 2,965 | 1,145 |
| Pecos | 2,468 | 1,554 |
| Duval | 1,316 | 2,783 |
| Wilbarger | 3,166 | 809 |
| Lamb | 3,111 | 771 |
| Somervell | 3,206 | 541 |
| Runnels | 3,250 | 453 |
| Goliad | 2,620 | 973 |
| Coleman | 3,177 | 388 |
| Hamilton | 3,060 | 479 |
| San Augustine | 2,622 | 910 |
| Dawson | 2,636 | 835 |
| Stephens | 3,034 | 348 |
| Ward | 2,547 | 783 |
| Zavala | 694 | 2,636 |
| Terry | 2,459 | 753 |
| Jack | 2,973 | 314 |
| Dimmit | 974 | 2,173 |
| Reeves | 1,417 | 1,659 |
| Zapata | 1,029 | 2,063 |
| McCulloch | 2,552 | 482 |
| Ochiltree | 2,628 | 274 |
| Carson | 2,620 | 249 |
| Refugio | 1,830 | 1,034 |
| Brooks | 613 | 1,937 |
| Parmer | 1,915 | 485 |
| San Saba | 2,025 | 293 |
| Wheeler | 2,087 | 194 |
| Yoakum | 1,797 | 426 |
| Delta | 1,836 | 400 |
| Mills | 1,951 | 243 |
| Presidio | 652 | 1,458 |
| Swisher | 1,671 | 462 |
| Mitchell | 1,780 | 354 |
| Jim Hogg | 430 | 1,635 |
| Childress | 1,802 | 253 |
| La Salle | 872 | 1,129 |
| Mason | 1,656 | 354 |
| Lynn | 1,546 | 403 |
| Castro | 1,414 | 526 |
| Floyd | 1,474 | 435 |
| Hartley | 1,730 | 173 |
| Kimble | 1,697 | 206 |
| Hansford | 1,730 | 171 |
| Winkler | 1,403 | 420 |
| Bailey | 1,344 | 397 |
| Haskell | 1,403 | 314 |
| Martin | 1,455 | 266 |
| Fisher | 1,265 | 403 |
| Crosby | 1,181 | 468 |
| Hemphill | 1,462 | 181 |
| Real | 1,382 | 262 |
| Dallam | 1,261 | 222 |
| Hardeman | 1,207 | 249 |
| Shackelford | 1,378 | 103 |
| Baylor | 1,267 | 191 |
| Garza | 1,225 | 230 |
| Donley | 1,225 | 191 |
| Kinney | 936 | 458 |
| Coke | 1,265 | 140 |
| Sutton | 1,075 | 313 |
| Crockett | 980 | 372 |
| Crane | 1,049 | 299 |
| Knox | 1,078 | 247 |
| Upton | 1,007 | 286 |
| Lipscomb | 1,159 | 135 |
| Jeff Davis | 695 | 422 |
| Collingsworth | 983 | 145 |
| Hall | 893 | 164 |
| Edwards | 746 | 303 |
| Concho | 885 | 148 |
| Schleicher | 821 | 208 |
| Armstrong | 924 | 70 |
| Oldham | 850 | 78 |
| Sherman | 807 | 96 |
| Dickens | 755 | 128 |
| Reagan | 709 | 167 |
| Cochran | 679 | 190 |
| Hudspeth | 503 | 324 |
| Menard | 682 | 154 |
| Throckmorton | 715 | 84 |
| Culberson | 280 | 454 |
| Irion | 660 | 90 |
| Briscoe | 625 | 91 |
| Stonewall | 555 | 135 |
| Sterling | 549 | 70 |
| Motley | 566 | 40 |
| Cottle | 506 | 92 |
| Glasscock | 553 | 34 |
| Roberts | 524 | 20 |
| Foard | 383 | 113 |
| McMullen | 454 | 40 |
| Terrell | 288 | 140 |
| Kent | 360 | 59 |
| Borden | 330 | 31 |
| Kenedy | 84 | 99 |
| King | 149 | 5 |
| Loving | 58 | 4 |
|  |

Full Texas Results »

### Race Preview

Mr. Trump is expected to win Texas' 38 electoral votes, the second-largest Electoral College prize, but by a slimmer margin than Mitt Romney in 2012. Mitt Romney won Texas in 2012 by 15.8 percentage points.
