Title: Daily newspaper endorsements in the 2016 United States presidential election

URL Source: https://en.wikipedia.org/wiki/Daily_newspaper_endorsements_in_the_2016_United_States_presidential_election

Published Time: 2019-01-17T22:18:15Z

Markdown Content:
From Wikipedia, the free encyclopedia

Various notable daily newspapers made endorsements of candidates in the 2016 United States presidential election, as follows. The table below indicates which candidate each publication endorsed in the 2012 United States presidential election and includes only endorsements for the general election.

### Summary of daily newspapers

[edit]

| Candidate | Endorsements | Breakdown by 2012 endorsement |
| --- | --- | --- |
| Hillary Clinton | 244 | 100 Barack Obama; 47 Mitt Romney; 19 no endorsement; 1 split endorsement; 76 undetermined |
| No endorsement | 65 | 38 Mitt Romney; 2 Barack Obama; 2 no endorsement; 11 undetermined |
| Donald Trump | 20 | 14 Mitt Romney; 6 undetermined |
| Gary Johnson | 9 | 2 Barack Obama; 5 Mitt Romney; 2 undetermined |
| Not Donald Trump | 8 | 2 Mitt Romney; 1 Barack Obama; 4 no endorsement; 1 undetermined |
| Split endorsement | 2 | 2 split endorsement |
| Evan McMullin | 1 | 1 undetermined |
| Not Hillary Clinton | 1 | 1 undetermined |

### Endorsements by daily newspapers

[edit]

| Newspaper | 2016 endorsement | Largest reported circulation | Endorsement date | City | State | 2012 endorsement | Notes |
| _Austin American-Statesman_[109] | No endorsement | 122,361[16] | October 4 | Austin | Texas | No endorsement[90] | [z] |
| _Tampa Bay Times_[110] | Hillary Clinton | 475,942[111] | October 6 | St. Petersburg | Florida | Barack Obama[112] |  |
| _Effingham Daily News_[113] | Hillary Clinton | 9,564[16] | October 6 | Effingham | Illinois |  | [aa] |
| _Bangor Daily News_[114] | Hillary Clinton | 52,382[115] | October 7 | Bangor | Maine | Barack Obama[116] |  |
| _Hartford Courant_[117] | Hillary Clinton | 178,515[118] | October 7 | Hartford | Connecticut | Barack Obama[119] |  |
| _The Denver Post_[120] | Hillary Clinton | 573,542[9] | October 7 | Denver | Colorado | Barack Obama[121] |  |
| _The Seattle Times_[122] | Hillary Clinton | 352,131[9] | October 7 | Seattle | Washington | Barack Obama[123] |  |
| _Ventura County Star_[124] | Hillary Clinton | 56,006[16] | October 7 | Camarillo | California | Barack Obama[125] |  |
| _The Cullman Times_[126][127] | Hillary Clinton | 11,425[16] | October 7 | Cullman | Alabama |  |  |
| _The Daily Star_[128] | Hillary Clinton | 10,548[16] | October 7 | Oneonta | New York |  | [ab] |
| _The Post-Standard_[129] | Hillary Clinton | 111,664[16] | October 7 | Syracuse | New York | No endorsement[130] |  |
| _Santa Barbara News-Press_[131][132][133] | Donald Trump | 21,245[16] | October 7 | Santa Barbara | California | Mitt Romney[134] | [ac] |
| _Bluefield Daily Telegraph_[136] | Hillary Clinton | 13,343[16] | October 8 | Bluefield | West Virginia | Mitt Romney[69] |  |
| _Lockport Union-Sun & Journal_[137] | Hillary Clinton | 5,726[16] | October 8 | Lockport | New York |  |  |
| _Pharos-Tribune_[138] | Hillary Clinton | 8,425[16] | October 8 | Logansport | Indiana |  |  |
| _St. Louis Post-Dispatch_[139] | Hillary Clinton | 438,058[9] | October 8 | St. Louis | Missouri | Barack Obama[140] |  |
| _New Castle News_[141] | Hillary Clinton | 12,631[16] | October 8 | New Castle | Pennsylvania | No endorsement[142] |  |
| _The Meadville Tribune_[143] | Hillary Clinton | 9,792[16] | October 8 | Meadville | Pennsylvania |  |  |
| _Herald-Banner_[144] | Hillary Clinton | 4,880[16] | October 8 | Greenville | Texas |  | [ad] |
| _The Boston Globe_[146] | Hillary Clinton | 377,405[9] | October 8 | Boston | Massachusetts | Barack Obama[147] |  |
| _The Daily Citizen_[148] | Hillary Clinton | 11,000[16] | October 8 | Dalton | Georgia |  |  |
| _The Commercial Appeal_[149] | Hillary Clinton | 110,453[16] | October 8 | Memphis | Tennessee | No endorsement[69] | [ae] |
| _The Daily Independent_[151] | Hillary Clinton | 12,088[16] | October 8 | Ashland | Kentucky |  | [af] |
| _Clinton Herald_[152] | Hillary Clinton | 7,950[16] | October 8 | Clinton | Iowa |  |  |
| _The Fresno Bee_[153] | Hillary Clinton | 108,116[16] | October 8 | Fresno | California | Barack Obama[69] |  |
| _Deseret News_[154] | Not Donald Trump | 102,194[155] | October 8 | Salt Lake City | Utah | No endorsement[69] | [ag] |
| _Enid News & Eagle_[156] | Hillary Clinton | 11,693[16] | October 8 | Enid | Oklahoma |  | [ah] |
| _The Olympian_[157] | Hillary Clinton | 21,325[16] | October 8 | Olympia | Washington | Barack Obama[158] |  |
| _The News Virginian_[159] | Hillary Clinton | 5,298[23] | October 8 | Waynesboro | Virginia |  |  |
| _The News & Observer_[160] | Hillary Clinton | 147,218[16] | October 8 | Raleigh | North Carolina | Barack Obama[69] |  |
| _Muskogee Phoenix_[161] | Hillary Clinton | 9,741[16] | October 8 | Muskogee | Oklahoma |  | [ai] |
| _Times-Standard_[162] | Hillary Clinton | 21,623[163] | October 8 | Eureka | California |  |  |
| _Niagara Gazette_[164] | Hillary Clinton | 10,008[16] | October 9 | Niagara Falls | New York |  | [aj] |
| _Kokomo Tribune_[165] | Hillary Clinton | 18,029[16] | October 9 | Kokomo | Indiana |  |  |
| _The Free Press_[166] | Hillary Clinton | 16,874[16] | October 9 | Mankato | Minnesota |  | [ak] |
| _The Tribune-Democrat_[167] | Hillary Clinton | 28,720[16] | October 9 | Johnstown | Pennsylvania | Mitt Romney[168] |  |
| _The Plain Dealer_[169] | Hillary Clinton | 397,891[9] | October 9 | Cleveland | Ohio | Barack Obama[170] | [al] |
| _Las Vegas Sun_[172] | Hillary Clinton | 203,736[173] | October 9 | Las Vegas | Nevada | Barack Obama[174] | [am] |
| _The Columbus Dispatch_[175] | Hillary Clinton | 221,547[176] | October 9 | Columbus | Ohio | Mitt Romney[177] | [an] |
| _The Day_[178] | Hillary Clinton | 24,657[16] | October 9 | New London | Connecticut | Barack Obama[179] |  |
| _The Hawk Eye_[180] | Hillary Clinton | 15,399[181] | October 9 | Burlington | Iowa | Barack Obama[69] |  |
| _The Northwest Arkansas Democrat Gazette_[182][183] | No endorsement | 17,807[184] | October 9 | Fayetteville | Arkansas |  | [ao] |
| _Arkansas Democrat-Gazette_[185][186] | No endorsement | 179,134[187] | October 9 | Little Rock | Arkansas | Mitt Romney[69] | [ap] |
| _McAlester News-Capital_[188] | Hillary Clinton | 9,000[189] | October 9 | McAlester | Oklahoma |  |  |
| _Commercial-News_[190] | Hillary Clinton | 11,100[16] | October 9 | Danville | Illinois |  |  |
| _The Sun News_[191] | Hillary Clinton | 38,133[16] | October 9 | Myrtle Beach | South Carolina | Barack Obama[158] |  |
| _The Daily News of Newburyport_[192] | Hillary Clinton | 8,052[16] | October 9 | Newburyport | Massachusetts |  | [aq] |
| _The Birmingham News_[193] | Hillary Clinton | 104,316[16] | October 9 | Birmingham | Alabama | No endorsement[194] | [ar] |
| _Press-Register_[193] | Hillary Clinton | 86,276[16] | October 9 | Mobile | Alabama | No endorsement[194] | [ar] |
| _The Huntsville Times_[193] | Hillary Clinton | 45,471[16] | October 9 | Huntsville | Alabama | No endorsement[194] | [ar] |
| _The Eagle-Tribune_[195] | Hillary Clinton | 28,055[16] | October 9 | North Andover | Massachusetts | Mitt Romney[196] | [aq] |
| _The Record_[197] | Hillary Clinton | 30,617[16] | October 9 | Stockton | California | Barack Obama[198] |  |
| _The Valdosta Daily Times_[199] | Hillary Clinton | 13,223[16] | October 9 | Valdosta | Georgia |  |  |
| _Press-Republican_[200] | Hillary Clinton | 15,268[16] | October 9 | Plattsburgh | New York | No endorsement[200] | [as] |
| _Cumberland Times-News_[201] | Hillary Clinton | 21,067[16] | October 9 | Cumberland | Maryland |  |  |
| _Grand Junction Daily Sentinel_[202] | Not Donald Trump | 24,326[16] | October 9 | Grand Junction | Colorado | Mitt Romney[203] | [at] |
| _Courier News_[204] | Hillary Clinton | 11,943[205] | October 9 | Somerville | New Jersey |  | [au] |
| _Marin Independent Journal_[206] | Hillary Clinton | 27,203[207] | October 9 | San Rafael | California | Barack Obama[208] |  |
| _Gloucester Daily Times_[209] | Hillary Clinton | 6,137[16] | October 9 | Gloucester | Massachusetts |  | [aq] |
| _The Salem News_[210] | Hillary Clinton | 15,624[16] | October 9 | Salem | Massachusetts |  | [aq] |
| _Asbury Park Press_[211] | Hillary Clinton | 109,060[48] | October 9 | Asbury Park | New Jersey | Barack Obama[69] | [aq] |
| _Daily Record_[212] | Hillary Clinton | 14,952[48] | October 9 | Morristown | New Jersey |  | [au] |
| _The Woodward News_[213] | Hillary Clinton | 3,414[16] | October 9 | Woodward | Oklahoma |  | [av] |
