Title: Daily newspaper endorsements in the 2016 United States presidential election

URL Source: https://en.wikipedia.org/wiki/Daily_newspaper_endorsements_in_the_2016_United_States_presidential_election

Published Time: 2019-01-17T22:18:15Z

Markdown Content:
From Wikipedia, the free encyclopedia

Various notable daily newspapers made endorsements of candidates in the 2016 United States presidential election, as follows. The table below indicates which candidate each publication endorsed in the 2012 United States presidential election and includes only endorsements for the general election.

### Summary of daily newspapers

[edit]

| Candidate | Endorsements | Breakdown by 2012 endorsement |
| --- | --- | --- |
| Hillary Clinton | 244 | 100 Barack Obama; 47 Mitt Romney; 19 no endorsement; 1 split endorsement; 76 undetermined |
| No endorsement | 65 | 38 Mitt Romney; 2 Barack Obama; 2 no endorsement; 11 undetermined |
| Donald Trump | 20 | 14 Mitt Romney; 6 undetermined |
| Gary Johnson | 9 | 2 Barack Obama; 5 Mitt Romney; 2 undetermined |
| Not Donald Trump | 8 | 2 Mitt Romney; 1 Barack Obama; 4 no endorsement; 1 undetermined |
| Split endorsement | 2 | 2 split endorsement |
| Evan McMullin | 1 | 1 undetermined |
| Not Hillary Clinton | 1 | 1 undetermined |

### Endorsements by daily newspapers

[edit]

| Newspaper | 2016 endorsement | Largest reported circulation | Endorsement date | City | State | 2012 endorsement | Notes |
| _Walla Walla Union-Bulletin_[365] | Hillary Clinton | 11,290[16] | October 18 | Walla Walla | Washington | Mitt Romney[158] |  |
| _Chico Enterprise-Record_[366] | No endorsement | 29,843[367] | October 19 | Chico | California | Mitt Romney[368] | [by] |
| _Oroville Mercury-Register_[369] | No endorsement | 5,852[370] | October 19 | Oroville | California | Mitt Romney[371] | [by] |
| _El Diario La Prensa_[372] | Hillary Clinton | 29,339[363] | October 19 | New York City | New York |  |  |
| _Boston Herald_[373] | No endorsement | 96,403[374] | October 20 | Boston | Massachusetts | Mitt Romney[69] | [bz] |
| _Fort Worth Star-Telegram_[375] | Not Donald Trump | 184,988[16] | October 21 | Fort Worth | Texas | Mitt Romney[69] |  |
| _The Philadelphia Inquirer_[376] | Hillary Clinton | 497,142[9] | October 21 | Philadelphia | Pennsylvania | Barack Obama[69] |  |
| _Newsday_[377] | Hillary Clinton | 510,683[9] | October 21 | Melville | New York | Mitt Romney[69] |  |
| _Poughkeepsie Journal_[378] | Hillary Clinton | 26,984[48] | October 21 | Poughkeepsie | New York | Barack Obama[319] |  |
| _San Jose Mercury News_[379] | Hillary Clinton | 634,001[9] | October 21 | San Jose | California | Barack Obama[69] | [ca] |
| _East Oregonian_[380] | Hillary Clinton | 7,000[381] | October 21 | Pendleton | Oregon | Barack Obama[248] |  |
| _Dixon Telegraph and Sterling Daily Gazette_[382] | No endorsement | 21,399[383] | October 21 | Sterling | Illinois | Mitt Romney[384] | [cb] |
| _The Herald-Dispatch_[385] | No endorsement | 35,552[386] | October 21 | Huntington | West Virginia | Mitt Romney[69] |  |
| _The Sentinel_[387] | No endorsement | 10,276[16] | October 21 | Carlisle | Pennsylvania |  |  |
| _The Times-Gazette_[388] | Donald Trump | 4,300[389] | October 21 | Hillsboro | Ohio |  |  |
| _East Bay Times_[390] | Hillary Clinton | 525,000[391] | October 21 | Walnut Creek | California | Barack Obama[392][393] | [cc] |
| _Iowa City Press-Citizen_[394] | Hillary Clinton | 9,939[48] | October 22 | Iowa City | Iowa | Barack Obama[395] |  |
| _Daily Herald_[396] | Hillary Clinton | 102,293[397] | October 22 | Arlington Heights | Illinois | Mitt Romney[384] |  |
| _The News Tribune_[398] | Hillary Clinton | 79,914[16] | October 22 | Tacoma | Washington | Barack Obama[69] |  |
| _Star Tribune_[399] | Hillary Clinton | 589,725[9] | October 22 | Minneapolis | Minnesota | Barack Obama[69] |  |
| _Rockford Register Star_[400] | Hillary Clinton | 41,549[16] | October 22 | Rockford | Illinois | Barack Obama[401] |  |
| _The Sun_[402] | No endorsement | 42,000[403] | October 22 | Lowell | Massachusetts | Mitt Romney[404] |  |
| _The State Journal-Register_[405] | Hillary Clinton | 40,328[16] | October 22 | Springfield | Illinois | No endorsement[406] |  |
| _Las Vegas Review-Journal_[407] | Donald Trump | 133,560[16] | October 22 | Las Vegas | Nevada | Mitt Romney[408] | [cd] |
| _The Bulletin_[411] | Hillary Clinton | 155,47[16] | October 22 | Norwich | Connecticut | Mitt Romney[69] |  |
| _The Bradenton Herald_[412] | No endorsement | 32,938[16] | October 22 | Bradenton | Florida | No endorsement[413] |  |
| _Tiffin Advertiser-Tribune_[414] | Not Hillary Clinton | 9,200[415] | October 23 | Tiffin | Ohio |  |  |
| _Lincoln Journal Star_[416] | Hillary Clinton | 54,614[16] | October 23 | Lincoln | Nebraska | Barack Obama[417] |  |
| _News & Record_[418] | Hillary Clinton | 68,262[16] | October 23 | Greensboro | North Carolina |  |  |
| _Quad-City Times_[419] | Hillary Clinton | 46,428[16] | October 23 | Davenport | Iowa | Mitt Romney[420] |  |
| _The Decatur Daily_[421] | Hillary Clinton | 24,807[422] | October 23 | Decatur | Alabama | Barack Obama[69] |  |
| _Carroll County Times_[423] | No endorsement | 27,171[424] | October 23 | Westminster | Maryland |  |  |
| _Cape Cod Times_[425] | Hillary Clinton | 37,627[426] | October 23 | Hyannis | Massachusetts | Mitt Romney[69] |  |
| _The Southern Illinoisan_[427] | Hillary Clinton | 26,180[16] | October 23 | Carbondale | Illinois | Mitt Romney[384] |  |
| _The Daily News_[428] | Hillary Clinton | 24,331[429] | October 23 | Galveston | Texas | Mitt Romney[69] |  |
| _The Scranton Times-Tribune_[430] | Hillary Clinton | 49,221[16] | October 23 | Scranton | Pennsylvania | Barack Obama[221] |  |
| _The Citizens' Voice_[431] | Hillary Clinton | 25,681[16] | October 23 | Wilkes-Barre | Pennsylvania | Barack Obama[221] | [ce] |
| _The Waterloo-Cedar Falls Courier_[432] | No endorsement | 37,090[16] | October 23 | Waterloo | Iowa | Mitt Romney[433] |  |
| _The Star-Ledger_[434] | Hillary Clinton | 247,025[16] | October 23 | Newark | New Jersey | Barack Obama[267] |  |
| _Globe Gazette_[435] | Hillary Clinton | 14,923[16] | October 23 | Mason City | Iowa |  |  |
| _The Beaumont Enterprise_[436] | Hillary Clinton | 27,180[16] | October 23 | Beaumont | Texas | Mitt Romney[437] |  |
| _West Central Tribune_[438] | No endorsement | 10,723[439] | October 23 | Willmar | Minnesota | Mitt Romney[158] | [cf] |
| _The Dickinson Press_[441] | No endorsement | 5,758[442] | October 23 | Dickinson | North Dakota | Mitt Romney[158] | [cf] |
| _The Forum of Fargo-Moorhead_[443] | No endorsement | 43,606[16] | October 23 | Fargo | North Dakota | Mitt Romney[158] | [cf] |
| _Grand Forks Herald_[444] | No endorsement | 21,324[445] | October 23 | Grand Forks | North Dakota | Mitt Romney[158] | [cf] |
| _Sentinel & Enterprise_[446] | No endorsement | 16,393[447] | October 23 | Fitchburg | Massachusetts | Mitt Romney[448] |  |
| _Duluth News Tribune_[449] | No endorsement | 31,534[450] | October 23 | Duluth | Minnesota | Mitt Romney[451] |  |
| _The Gazette_[452] | Hillary Clinton | 49,050[16] | October 23 | Cedar Rapids | Iowa | Mitt Romney[453] |  |
| _Honolulu Star-Advertiser_[454] | Hillary Clinton | 171,160[455] | October 23 | Honolulu | Hawaii | Barack Obama[456] |  |
| _The Bryan-College Station Eagle_[457] | Hillary Clinton | 25,918[458] | October 23 | Bryan | Texas | Mitt Romney[459] |  |
| _The Gazette_[460] | No endorsement | 65,112[16] | October 23 | Colorado Springs | Colorado | Mitt Romney[461] |  |
| _The Tennessean_[462] | No endorsement | 198,214[48] | October 23 | Nashville | Tennessee | Mitt Romney[69] | [cg] |
| _The Times of Northwest Indiana_[463] | No endorsement | 77,357[16] | October 23 | Munster | Indiana | Mitt Romney[464] | [ch] |
| _The Daily Press_[465] | Hillary Clinton | 78,749[16] | October 23 | Newport News | Virginia | Mitt Romney[69] |  |
| _Antelope Valley Press_[466] | Donald Trump | 15,735[467] | October 23 | Palmdale | California | Mitt Romney[468][469] | [ci] |
| _AM New York_[470] | Hillary Clinton | 336,000[471] | October 24 | New York City | New York |  | [cj] |
| _Mitchell Daily Republic_[472] | No endorsement | 9,516[473] | October 24 | Mitchell | South Dakota | Mitt Romney[158] | [cf] |
| _Jamestown Sun_[474] | No endorsement | 4,716[475] | October 24 | Jamestown | North Dakota | Mitt Romney[158] | [cf] |
| _Daily Globe_[476] | No endorsement | 6,041[477] | October 24 | Worthington | Minnesota | Mitt Romney[265] | [cf] |
| _The Bemidji Pioneer_[478] | No endorsement | 6,102[479] | October 24 | Bemidji | Minnesota | Mitt Romney[480] | [cf] |
| _The Standard-Speaker_[481] | Hillary Clinton | 14,816[16] | October 25 | Hazleton | Pennsylvania |  | [ce] |
| _Centralia Chronicle_[482] | No endorsement | 14,000[483] | October 25 | Centralia | Washington | No endorsement[482] |  |
| _The Washington Times_[484] | Donald Trump | 59,185[485] | October 26 | Washington, D.C. | District of Columbia | Mitt Romney[486] |  |
| _The Tribune_[487] | Hillary Clinton | 28,669[16] | October 27 | San Luis Obispo | California | No endorsement[487] | [ck] |
| _Reno Gazette-Journal_[488] | Hillary Clinton | 82,745[489] | October 27 | Reno | Nevada | Mitt Romney[490] |  |
| _The Buffalo News_[491] | Hillary Clinton | 196,737[16] | October 27 | Buffalo | New York | Barack Obama[69] |  |
| _Hudson Star-Observer_[492] | No endorsement | 7,335[493] | October 27 | Hudson | Wisconsin | Mitt Romney[440] | [cf] |
| _The Flint Journal_[494] | Hillary Clinton | 52,415[16] | October 27 | Flint | Michigan | Barack Obama[495] | [cl] |
| _Kalamazoo Gazette_[494] | Hillary Clinton | 41,648[16] | October 27 | Kalamazoo | Michigan | Barack Obama[496] | [cm] |
| _Muskegon Chronicle_[494] | Hillary Clinton | 27,093[16] | October 27 | Muskegon | Michigan | Barack Obama[497] | [cm] |
| _The Grand Rapids Press_[494] | Hillary Clinton | 116,679[16] | October 27 | Grand Rapids | Michigan | Mitt Romney[498] | [cm] |
| _Jackson Citizen Patriot_[494] | Hillary Clinton | 21,823[16] | October 27 | Jackson | Michigan | Mitt Romney[499] | [cm] |
| _New Braunfels Herald-Zeitung_[500] | Hillary Clinton | 10,295[501] | October 28 | New Braunfels | Texas |  |  |
| _Philadelphia Daily News_[502] | Hillary Clinton | 46,234[16] | October 28 | Philadelphia | Pennsylvania | Barack Obama[248] |  |
| _The Recorder_[503] | Hillary Clinton | 11,522[504] | October 28 | Greenfield | Massachusetts | Barack Obama[505] | [cn] |
| _Daily Hampshire Gazette_[507] | Hillary Clinton | 14,975 | October 28 | Northampton | Massachusetts | Barack Obama[508] | [cn] |
| _The News-Sentinel_[509] | Donald Trump | 80,879[510] | October 28 | Fort Wayne | Indiana | Mitt Romney[158] | [co] |
| _The Patriot Ledger_[511] | Hillary Clinton | 34,830[16] | October 29 | Quincy | Massachusetts |  | [cp] |
| _Albany Times Union_[512] | Hillary Clinton | 107,765[16] | October 29 | Albany | New York | Barack Obama[69] |  |
| _The State_[513] | Hillary Clinton | 67,804[16] | October 29 | Columbia | South Carolina | No endorsement[514] | [cq] |
| _Farmington Daily Times_[515] | Hillary Clinton | 11,103[516] | October 29 | Farmington | New Mexico |  |  |
| _Detroit Free Press_[517] | Hillary Clinton | 355,000[518] | October 30 | Detroit | Michigan | Barack Obama[519] |  |
| _The MetroWest Daily News_[520] | Hillary Clinton | 16,801[16] | October 30 | Framingham | Massachusetts | Barack Obama[158] | [cr] |
| _The Milford Daily News_[521] | Hillary Clinton | 5,150[16] | October 30 | Milford | Massachusetts | Barack Obama[522] | [cr] |
| _The Free Lance-Star_[523] | No endorsement | 39,598[23] | October 30 | Fredericksburg | Virginia | Barack Obama[524] |  |
| _The Dispatch / The Rock Island Argus_[525] | No endorsement | 35,397[16] | October 30 | Moline | Illinois | Mitt Romney[526] | [cs] |
| _Erie Times-News_[527] | Hillary Clinton | 54,325[16] | October 30 | Erie | Pennsylvania | Barack Obama[528] |  |
| _Taunton Daily Gazette_[529] | Hillary Clinton | 5,888[16] | October 30 | Taunton | Massachusetts |  | [cp] |
| _The Enterprise_[530] | Hillary Clinton | 21,767[16] | October 30 | Brockton | Massachusetts |  | [cp] |
| _Bucks County Courier Times_[531] | No endorsement | 39,788[16] | October 30 | Levittown | Pennsylvania | Mitt Romney[221] | [ct] |
| _Stamford Advocate_[532] | Hillary Clinton | 12,760[16] | October 30 | Stamford | Connecticut | Barack Obama[533] | [cu] |
| _Greenwich Time_[534] | Hillary Clinton | 6,747[16] | October 30 | Old Greenwich | Connecticut | Barack Obama[535] | [cu] |
| _The News-Times_[536] | Hillary Clinton | 18,931[16] | October 30 | Danbury | Connecticut | Barack Obama[537] | [cu] |
| _The Hour_[538] | Hillary Clinton | 23,788[539] | October 30 | Norwalk | Connecticut |  | [cu] |
| _Connecticut Post_[540] | Hillary Clinton | 46,317[16] | October 30 | Bridgeport | Connecticut |  | [cu] |
| _The Daily Gazette_[541] | Hillary Clinton | 57,323[_citation needed_] | October 30 | Schenectady | New York |  |  |
| _The Herald News_[542] | Hillary Clinton | 13,060[16] | October 30 | Fall River | Massachusetts |  | [cp] |
| _Tri-City Herald_[543] | Hillary Clinton | 35,487[544] | October 30 | Kennewick | Washington | Mitt Romney[545] |  |
| _Daily Reflector_[546] | Donald Trump | 16,966[16] | October 30 | Greenville | North Carolina | Mitt Romney[547] |  |
| _Sioux City Journal_[548] | No endorsement | 29,164[16] | October 30 | Sioux City | Iowa | Mitt Romney[549] |  |
| _Albuquerque Journal_[550] | No endorsement | 96,346[16] | October 30 | Albuquerque | New Mexico | Mitt Romney[551] |  |
| _The Lima News_[552] | No endorsement | 26,088[16] | October 30 | Lima | Ohio | Mitt Romney[553] |  |
| _The Republican_[554] | Hillary Clinton | 87,053[16] | October 30 | Springfield | Massachusetts | Barack Obama[555] |  |
| _Daily Herald_[556] | Evan McMullin | 26,757[16] | October 30 | Provo | Utah |  | [cv] |
| _The Gadsden Times_[558] | No endorsement | 14,131[16] | October 30 | Gadsden | Alabama | No endorsement[559] |  |
| _The Beaver County Times_[560] | Hillary Clinton | 27,288[16] | October 30 | Beaver | Pennsylvania |  |  |
| _Baytown Sun_[561] | No endorsement | 10,236[562] | October 30 | Baytown | Texas |  |  |
| _The Athens Messenger_[563] | Hillary Clinton | 12,000[564] | October 31 | Athens | Ohio |  |  |
| _Aiken Standard_[565] | No endorsement | 12,832[566] | October 31 | Aiken | South Carolina | No endorsement[565] |  |
| _Ashland Daily Tidings_[567] | Hillary Clinton | 3,800[568] | October 31 | Ashland | Oregon |  |  |
| _The Durango Herald_[569] | Hillary Clinton | 21,000[570] | November 1 | Durango | Colorado | Barack Obama[571] |  |
| _The Vindicator_[572] | Hillary Clinton | 49,622[16] | November 1 | Youngstown | Ohio | Barack Obama[573] | [cw] |
| _The Anniston Star_[574] | Hillary Clinton | 17,155[16] | November 1 | Anniston | Alabama | Barack Obama[69] |  |
| _Mail Tribune_[575] | Hillary Clinton | 20,208[16] | November 1 | Medford | Oregon | Barack Obama[576] | [cx] |
| _Carroll Daily Times Herald_[577] | No endorsement | 5,456[578] | November 2 | Carroll | Iowa | Barack Obama[579] |  |
| _The Aspen Times_[580] | Hillary Clinton | 6,500[581] | November 2 | Aspen | Colorado | Barack Obama[69] |  |
| _Watertown Daily Times_[582] | Hillary Clinton | 21,583[16] | November 2 | Watertown | New York | Mitt Romney[583] | [cy] |
| _Daily Sun News_[584] | Gary Johnson | 3,300[16] | November 2 | Sunnyside | Washington |  |  |
| _Barre Montpelier Times Argus_[585] | Hillary Clinton | 6,915[586] | November 3 | Barre | Vermont |  |  |
| _New Haven Register_[587] | No endorsement | 64,827[16] | November 3 | New Haven | Connecticut | Barack Obama[588] |  |
| _The Herald_[589] | Hillary Clinton | 62,520[590] | November 3 | Everett | Washington | Barack Obama[591] |  |
| _The Monterey Herald_[592] | Hillary Clinton | 20,150[16] | November 3 | Monterey | California | Barack Obama[593] |  |
| _Milwaukee Journal Sentinel_[594] | Not Donald Trump | 318,711[81] | November 4 | Milwaukee | Wisconsin | No endorsement[595] |  |
| _The News Journal_[596] | Hillary Clinton | 104,570[48] | November 4 | Wilmington | Delaware | Barack Obama[158] |  |
| _Beloit Daily News_[597] | No endorsement | 13,145[598] | November 5 | Beloit | Wisconsin | Mitt Romney[599] |  |
| _The Citizen_[600] | Hillary Clinton | 7,925[16] | November 5 | Auburn | New York | Barack Obama[601] |  |
| _Observer-Reporter_[602] | Hillary Clinton | 32,350[16] | November 5 | Washington | Pennsylvania | Mitt Romney[603] |  |
| _Greeley Tribune_[604] | No endorsement | 18,200[605] | November 5 | Greeley | Colorado |  |  |
| _Republican-American_[606] | Donald Trump | 43,403[16] | November 5 | Waterbury | Connecticut | Mitt Romney[69] |  |
| _Ledger-Enquirer_[607] | Hillary Clinton | 31,864[16] | November 5 | Columbus | Georgia | No endorsement[514] |  |
| _The Florida Times-Union_[608] | Donald Trump | 100,644[16] | November 5 | Jacksonville | Florida | Mitt Romney[609] | [cz] |
| _The Daily Leader_[611] | No endorsement | 5,700[612] | November 5 | Brookhaven | Mississippi |  |  |
| _Peninsula Clarion_[613] | Donald Trump | 7,000[614] | November 5 | Kenai | Alaska | Mitt Romney[615] | [da] |
| _Athens Banner-Herald_[617] | Donald Trump | 14,631[16] | November 5 | Athens | Georgia |  | [da] |
| _The Wall Street Journal_[618][619] | No endorsement | 2,378,827[620] | November 6 | New York City | New York | No endorsement | [db] |
| _Janesville Gazette_[621] | No endorsement | 20,000[16] | November 6 | Janesville | Wisconsin | Mitt Romney[69] |  |
| _The Ledger_[622] | No endorsement | 50,180[16] | November 6 | Lakeland | Florida | No endorsement[623] | [dc] |
| _The Exponent-Telegram_[624] | No endorsement | 16,892[16] | November 6 | Clarksburg | West Virginia | Mitt Romney[625] |  |
| _The Sun Chronicle_[626] | Not Donald Trump | 25,372[16] | November 6 | Attleboro | Massachusetts |  |  |
| _Savannah Morning News_[627] | Donald Trump | 35,043[16] | November 6 | Savannah | Georgia | Mitt Romney[628] | [da] |
| _Topeka Capital-Journal_[629] | Donald Trump | 29,168[16] | November 6 | Topeka | Kansas |  | [da] |
| _St. Augustine Record_[630] | Donald Trump | 15,131[16] | November 6 | St. Augustine | Florida |  | [da] |
| _The Standard Times_[631] | Hillary Clinton | 19,972[16] | November 6 | New Bedford | Massachusetts | Barack Obama[632] |  |
| _Juneau Empire_[633] | Donald Trump | 7,500[614] | November 6 | Juneau | Alaska |  | [da] |
| _The Augusta Chronicle_[634] | Donald Trump | 47,456[16] | November 6 | Augusta | Georgia | Mitt Romney[158] | [da] |
| _Lubbock Avalanche-Journal_[635] | Donald Trump | 29,685[16] | November 6 | Lubbock | Texas | Mitt Romney[248] | [da] |
| _Battle Creek Enquirer_[636] | Hillary Clinton | 14,789[637] | November 6 | Battle Creek | Michigan |  |  |
| _The Post and Courier_[638] | Gary Johnson | 74,027[16] | November 6 | Charleston | South Carolina | Mitt Romney[69] |  |
| _Valley News_[639] | Hillary Clinton | 16,605[640] | November 6 | West Lebanon | New Hampshire | Barack Obama[248] |  |
| _Danville Register & Bee_[641] | Gary Johnson | 15,873[23] | November 6 | Danville | Virginia | Mitt Romney[69] |  |
| _Bowling Green Daily News_[642] | Donald Trump | 21,709[16] | November 6 | Bowling Green | Kentucky | Mitt Romney[643] |  |
| _Orange County Register_[644] | No endorsement | 270,742[16] | November 6 | Santa Ana | California | No endorsement[69] | [dd] |
| _The Times-Reporter_[645] | No endorsement | 18,132[646] | November 6 | New Philadelphia | Ohio | No endorsement[647] |  |
| _Finger Lakes Times_[648] | Hillary Clinton | 10,064[649] | November 6 | Geneva | New York |  |  |
| _The Trentonian_[650] | Hillary Clinton | 23,580[651] | November 6 | Trenton | New Jersey | No endorsement[652] |  |
| _Pittsburgh Post-Gazette_[653] | No endorsement | 318,962[_citation needed_] | November 6 | Pittsburgh | Pennsylvania | Barack Obama[654] |
| _The Daily Nonpareil_[655] | Not Donald Trump | 11,709[656] | November 6 | Council Bluffs | Iowa |  |
| _The Patriot-News_[657] | Hillary Clinton | 176,564[_citation needed_] | October 6 | Harrisburg | Pennsylvania | Barack Obama[658] |

*   Newspaper endorsements in the United States presidential primaries, 2016

1.   **^**The _Daily News_'s editorial stance is usually identified as "flexibly centrist"[5] with a populist streak.[6] The paper endorsed George W. Bush in 2004,[7]Barack Obama in 2008, and Mitt Romney in 2012.[4] On November 1, the _Daily News_ published an additional editorial "doubling down" on their endorsement, because "it's that important".[2]
2.   **^**This was the third time in 64 years that the _Chronicle_ endorsed a Democratic nominee for president. The previous times were 2008 (Barack Obama) and 1964 (Texan Lyndon Johnson).[11]
3.   **^**This marked a break from the _World_'s traditional practice of endorsing the Republican nominee; it last endorsed a Democrat for president in 1940 (Franklin Roosevelt).[15]
4.   **^**This was the _Times-Dispatch_'s first endorsement of a Libertarian. They have endorsed the Republican nominee in every election since 1980.[22] The newspaper published an additional editorial on October 29, confirming that Johnson remains the newspaper's best choice for president.[25]
5.   **^**This was the _Morning News_'s first endorsement of a Democrat for president since 1944 (Franklin Roosevelt).[31][32]
6.   **^**This was the _Journal_'s first endorsement of a Libertarian for president.[36]
7.   **^**This was the _Union Leader_'s first endorsement of a Libertarian for president, and their first endorsement for a non-Republican in over 100 years.[39] On November 5, the _Union Leader_ published an additional editorial re-affirming their support of Johnson.
8.   **^**The _Repository_ has a bipartisan endorsement record since 1980, but did not endorse any candidate in the two most recent elections.[43] An identical editorial ran in _The_(Massillon)_Independent_.
9.   **^**The _Times_ endorsed Republican candidates until 1972, then discontinued endorsements until backing Obama in 2008 and 2012.
10.   **^**The _Enquirer_ had not endorsed a Democrat for president since 1916 (Woodrow Wilson).[50] On November 2, the _Enquirer_ published an additional editorial, re-affirming their endorsement.
11.   **^**The _Times_ took the additional step of publishing an editorial entitled "Why Donald Trump Should Not Be President."[56]
12.   ^ _**a**_ _**b**_ This same editorial that appeared in the _Portland Press Herald_ also appeared on the same day in the Augusta, Maine Kennebec Journal[59]
13.   **^**This was the first time in the _Republic_'s 126-year history that the paper had endorsed a Democrat for president.[60]
14.   **^**This was _The Detroit News_'s first endorsement for a non-Republican in their 143-year history.[65] The paper refrained from making an endorsement in three other presidential elections: twice when Franklin Roosevelt was running, and in 2004.[62]
15.   **^**_USA Today_ published an editorial urging readers not to vote for Donald Trump, marking the first time the newspaper had taken a position in a presidential election in its 34-year history.
16.   **^**The _Sun-Sentinel_ also published an editorial entitled "Why Trump Is a Terrible Choice."[73]
17.   **^**This was the _Tribune_'s first endorsement of a Libertarian for president, and first for a third party since 1912 (former Republican Theodore Roosevelt).[76] Traditionally a Republican paper, it endorsed Obama in 2008 and 2012.
18.   **^**This was the first time in the _Union-Tribune_'s 148-year history that the paper had endorsed a Democrat for president.[77]
19.   **^**The _Sun-Times_ published an additional editorial on November 4 reinforcing their endorsement of Clinton.
20.   **^**This marked the first time in the _Desert Sun_'s 90-year history that the newspaper had endorsed a Democrat for president.[87]
21.   **^**This was the first time in many decades that _The Courier_ had not endorsed the Republican candidate.
22.   **^**The _Caller-Times_ endorsed McCain in 2008.
23.   **^**_St. George Spectrum and Daily News_ is part of the _USA Today_ network, but published an independent decision to not endorse.
24.   **^**The _Tribune-Herald_'s opinion editor states that the editorial board stands by its previous endorsement of John Kasich during the Republican primary and declines to endorse a candidate in the general election.
25.   **^**_Florida Today_ is part of the _USA Today_ network, but published an independent decision to not endorse.
26.   **^**The _Austin American-Statesman_ endorsed Bush in 2000 and 2004, Obama in 2008, but declined to endorse in 2012 and 2016.
27.   **^**The _Effingham Daily News_ does not typically endorse candidates.
28.   **^**_The Daily Star_ endorsed Obama in 2008.
29.   **^**There is no published editorial explaining this endorsement.[135]
30.   **^**_The Commercial Appeal_ endorsed Republicans from 1980 through 2000, and Democrats in 2004 and 2008.[150]
31.   **^**_The Daily Independent_ endorsed McCain in 2008
32.   **^**The _News_ – owned by the LDS Church – has not endorsed a candidate in 80 years, but wrote that Donald Trump should drop out of the race.
33.   **^**The _Enid News & Eagle_ is traditionally a conservative paper.
34.   ^ _**a**_ _**b**_ The same editorial that was published in the _Muskogee Phoenix_ was also published on October 12 in its sister publication, the _Tahlequah Daily Press_.
35.   **^**The _Niagara Gazette_ endorsed Obama in 2008.
36.   **^**_The Free Press_ endorsed McCain in 2008.
37.   **^**Since 1936, the _Plain Dealer_ has endorsed 14 Republicans and 5 Democrats for president.[171]
38.   **^**The _Las Vegas Sun_ is published as a supplement to the _Review-Journal_.
39.   **^**The last time the _Dispatch_ had endorsed a Democrat for president was 1916.
40.   **^**The _Democrat Gazette_, traditionally a Republican paper, published dual non-endorsements of Clinton and Trump.
41.   **^**The _Democrat-Gazette_, traditionally a Republican paper, published dual non-endorsements of Clinton and Trump. These same editorials also appeared in its sister publication, the _Northwest Arkansas Democrat-Gazette_.
42.   ^ _**a**_ _**b**_ _**c**_ _**d**_ _**e**_ An identically worded editorial appeared in four other newspapers that are part of _Community Newspaper Holdings_ in Massachusetts.
43.   ^ _**a**_ _**b**_ _**c**_ Except for 2012, the _News_ had endorsed every Republican candidate since 1980. An identically-worded endorsement was also published in its sister publications The _Press-Register_ of Mobile and The _Huntsville Times_. 
44.   **^**The last time the _Press-Republican_ endorsed a presidential candidate was more than 40 years ago.
45.   **^**_The Daily Sentinel_, traditionally a Republican newspaper, said Donald Trump should step aside.
46.   ^ _**a**_ _**b**_ The _Courier News_ published their endorsement a week earlier than originally planned, also urging Trump to step aside. An identically-worded endorsement was also published in its sister publications The _Asbury Park Press_ and The _Daily Record_.
47.   **^**The _Woodward News_ published the endorsement editorial from its sister publication, the _Enid Eagle_, and then added at the end that they embraced this message.
48.   **^**The _Item_ republished the editorial from _The Cullman Times_ endorsing Clinton.
49.   **^**The October 9 editorial is identical to the one that appeared in its sister publication, the _Kokomo Times_. But the _News and Tribune_ published a separate, original endorsement (with the paper's editors named in the byline) on October 11, titled "Hillary Clinton Best Choice For President".[218]
50.   **^**The exact same editorial appeared in its sister publication, the _Kokomo Tribune_.
51.   **^**_The Bristol Herald Courier_ endorsed McCain in 2008 and Bush in 2004.
52.   **^**This same editorial appeared in the edition of October 11 of the paper's sister publication, the _Jeffersonville News and Tribune_.
53.   **^**While they all agreed not to vote for Trump, the editorial board of the _Daily Record_ could not reach a consensus in favor of Clinton.
54.   **^**The _Telegraph Herald_'s editorial notes that for decades they have not endorsed a candidate for president, but this time it was important to write an editorial against a candidate.
55.   **^**The _Mineral Wells Index_'s editorial notes that this editorial originally appeared in a sister publication, _The Cullman Times_, and it endorses this editorial.
56.   ^ _**a**_ _**b**_ An identically-worded endorsement was also published in the _Courier-Post_'s sister publication, _The Daily Journal_.
57.   **^**"This editorial originated through CNHI News and _The Ashland Daily Independen_ t, and we embrace its message."
58.   **^**Before endorsing Clinton The _Post_ published an editorial specifically saying that it would not endorse Donald Trump.[258]
59.   **^**_The Idaho Statesman_ endorsed Obama in 2008.
60.   **^**Charleston's two daily newspapers, the _Gazette_ and _Daily Mail_ merged operations in 2015, but maintain individual editorial departments. The _Gazette_ endorsed Clinton on October 14. The _Daily Mail_ originally withheld their endorsement, but changed their mind and published an editorial on November 4 urging voters to write in McMullin. In 2012 when they were separate newspapers, the _Gazette_ endorsed Obama, and the _Daily Mail_ endorsed Romney.
61.   **^**The 2012 endorsement was published by its sister paper, _The Star Ledger_.[267]
62.   **^**In 2012, _The Oregonian_ editorial board chose to end their practice of endorsing candidates for President in favor of more attention to local endorsements.
63.   **^**_El Nuevo Herald_ is considered a conservative, Republican paper like its sister paper _The Miami Herald_.[290]
64.   **^**The editorial noted that up until this point they endorsed Republican candidates for president "throughout its modern history." An identically-worded endorsement was also published in the _Reporter-Herald_'s sister publication _The Longmont Times-Call_.
65.   **^**This was the _World-Herald_'s first endorsement of a Democrat for president since 1932.
