Title: Decisions

URL Source: https://www.asbca.mil/Decisions/

Markdown Content:
| Decision Date | ASBCA Number | Appellant/Petitioner | Judge |
| --- | --- | --- | --- |
| September |  |  |  |
| March 10, 2020 | 62176 | SWF Constructors | Thrasher |
| March 9, 2020 | 62148 | Sang Kash Company | Woodrow |
| March 6, 2020 | 60253 | Chant Engineering Co., Inc. | Hartman |
| March 3, 2020 | 61806, 61807 | DCX-CHOL Enterprises, Inc. | Shackleford |
| March 2, 2020 | 60485, 60775 | Starwalker PR LLC | McIlmail |
| March 2, 2020 | 62027, 62028 | Paradise Pillow, Inc. | Thrasher |
| February |  |  |  |
| February 27, 2020 | 61955 | ASCT Group, Inc. | O'Sullivan |
| February 26, 2020 | 59463, 60125, 60400 | Solidstrip, Inc. | Hartman |
| February 26, 2020 | 62259 | High-Tech Launderette LLC | McIlmail |
| February 25, 2020 | 61301, 61600 | Serka Taahhut Insaat A.S. | Paul |
| February 25, 2020 | 61853, 61918, 61974, 62022 | Maruf Sharif Construction Company | Wilson |
| February 25, 2020 | 62338 | Ameresco Select, Inc. | Shackleford |
| February 24, 2020 | 60284 | ECC International, LLC | McIlmail |
| February 24, 2020 | 61724 | Korea Engineering Consultants Corporation | Stinson |
| February 24, 2020 | 61930 | Construcciones Jose Carro, S.E. | Witwer |
| February 20, 2020 | 59637 | Matcon Diamond, Inc. | Stinson |
| February 20, 2020 | 61878 | Turner Construction Company | Shackleford |
| February 20, 2020 | 60843 | AICI-Archirodon JV | Hartman |
| February 19, 2020 | 61435, 61687 | Federal Solutions Group, Inc. | Thrasher |
| February 19, 2020 | 61882 | NileCo General Contracting, LLC | McIlmail |
| February 19, 2020 | 61917 | CKY Inc. | Thrasher |
| February 18, 2020 | 62011 | Andritz Hydro Corporation | Woodrow |
| February 18, 2020 | 62308 | KiewitPhelps | Clarke |
| February 14, 2020 | 62364 | Rizzani de Eccher (USA), Inc. | Shackleford |
| February 14, 2020 | 61339 | Kamran Zaland Supplies and Services | Hartman |
| February 12, 2020 | 62140 | Molly Jessie Company | Shackleford |
| February 7, 2020 | 61638 | CSRA LLC | Kinner |
| February 7, 2020 | 61216 | Command Languages, Inc. d/b/a CLI Solutions | Kinner |
| February 6, 2020 | 62233 | Spanish Solutions Language Services | McIlmail |
| February 6, 2020 | 61248, 61834 | Greenland Contractors I/S | D'Alessandris |
| February 6, 2020 | 61645, 61646 | Al-Raha Group for Technical Services | Thrasher |
| February 5, 2020 | 62134 | Molly Jessie Company | Shackleford |
| February 5, 2020 | 62048 | STATZ Corporation | Thrasher |
| February 5, 2020 | 60641 | Nexagen Networks, Inc. | O'Connell |
| February 4, 2020 | 61968 | BRDC, a Joint Venture | McIlmail |
| February 3, 2020 | 61840 | Harris Corporation | Thrasher |
| January |  |  |  |
| January 30, 2020 | 62216 | GSI & Whitesell-Green, JV | O'Connell |
| January 29, 2020 | 60700, 60701 | Raytheon Company and Raytheon Missile Systems | Scott |
| January 28, 2020 | 62318 | A-Vet Roofing & Construction, LLC | Thrasher |
| January 28, 2020 | 62235 | Veteran Facility Services, LLC | Woodrow |
| January 28, 2020 | 62062 | Odyssey International, Inc. | D'Alessandris |
| January 27, 2020 | 58975 | M.L. Energia, Inc. | Shackleford |
| January 27, 2020 | 61714 | SBH Services & CORE Construction, JV II | Shackleford |
| January 23, 2020 | 62150 | Reilly Construction, Inc. | Thrasher |
| January 23, 2020 | 61502 | Bara Infoware, Inc. | Sweet |
| January 15, 2020 | 60468, 61194, 61998 | Gilbane Federal | Cates-Harman |
| January 14, 2020 | 61966 | Puma Energy Honduras, S.A. de C.V. | McIlmail |
| January 10, 2020 | 62080-991 | IAP Worldwide Services, Inc. | Thrasher |
| January 9, 2020 | 62130 | Soltek Pacific Construction Company | Thrasher |
| January 9, 2020 | 62291-993 | L3 Harris Technologies, Inc. | Thrasher |
| January 9, 2020 | 61503 | Alutiiq Commercial Enterprises, LLC | Cates-Harman |
| January 7, 2020 | 61896 | Burgos Group, LLC | Prouty |
| January 3, 2020 | 61696, 61697, 61698, 61699, 61700, 61701, 61702, 61703 | Sauer Incorporated | McNulty |
| January 2, 2020 | 61639 | Usibelli Coal Mine, Inc. | Osterhout |

| Decision Date | ASBCA Number | Appellant/Petitioner | Judge |
| --- | --- | --- | --- |
| December |  |  |  |
| December 30, 2019 | 61710 | Club Car, Inc. | Kinner |
| December 23, 2019 | 62021 | Universal Service Provider, LLC | Thrasher |
| December 20, 2019 | 61321, 61322, 61323, 61324, 61325, 61326 | Naseem Al-Oula Company | Younger |
| December 20, 2019 | 61224, 61268, 61625 | AXXON International, LLC | Osterhout |
| December 20, 2019 | 62160 | Technica Corporation | Thrasher |
| December 18, 2019 | 61790 | Sauer Incorporated | Younger |
| December 18, 2019 | 61618 | Ford Lumber & Building Supply, Inc. | D'Alessandris |
| December 17, 2019 | 60939, 60940, 60941 | Buck Town Contractors & Co. | D'Alessandris |
| December 16, 2019 | 60527, 60528, 60529 | Kalaeloa Ventures, LLC | Prouty |
| December 16, 2019 | 62299 | BRDC, a Joint Venture | McIlmail |
| December 16, 2019 | 61603, 61604 | Kadell Industries, Inc. | Page |
| December 13, 2019 | 60944 | Rizzani de Eccher (USA), Inc. | Young |
| December 10, 2019 | 62026, 62088, 62089 | CDM Constructors Inc. | Sweet |
| December 10, 2019 | 62228 | McGoldrick Construction Services Corporation | Thrasher |
| December 9, 2019 | 62194 | Hamilton Products Group, Inc. | McIlmail |
| December 9, 2019 | 61636, 61637 | DCX-CHOL Enterprises, Inc. | Sweet |
| December 6, 2019 | 61803 | Sotera/KeyW Corporation | Woodrow |
| December 4, 2019 | 61901 | Kirlin Builders, LLC | Melnick |
| December 4, 2019 | 61269, 61405 | R&R System Solutions, LLC | Osterhout |
| December 4, 2019 | 61628 | Centerra Group, LLC | Wilson |
| November |  |  |  |
| November 25, 2019 | 61339 | Kamran Zaland Supplies and Services | Hartman |
| November 25, 2019 | 60044, 60045, 60176, 60210 | ANHAM, LLC | O'Sullivan |
| Nobember 25, 2019 | 62151 | Veteran Logistics and Retail Services | Thrasher |
| November 25, 2019 | 61965 | Marine Terminals Corporation | Thrasher |
| November 20, 2019 | 62032 | KHS Corporation | McIlmail |
| November 19, 2019 | 61801 | Sauer Incorporated | Melnick |
| November 19, 2019 | 62198-992 | Caddell Construction Co. (DE), LLC | Thrasher |
| November 18, 2019 | 61944, 61945 | Preferred Construction Company, Inc. | Thrasher |
| November 15, 2019 | 59561 | Bell Boeing Joint Project Office | O'Connell |
| November 15, 2019 | 61864, 62074 | SEMI USA Corporation | D'Alessandris |
| November 13, 2019 | 61586, 61672 | Bergmann Associates, Inc. | Woodrow |
| November 13, 2019 | 61992, 62092 | Wu & Associates, Inc. | Wilson |
| November 13, 2019 | 62110, 62111 | Evolva AG | Thrasher |
| November 6, 2019 | 61946 | Perspecta Engineering Inc. | Thrasher |
| November 4, 2019 | 61597 | PIKA-Pirnie JV, LLC | Younger |
| November 4, 2019 | 61565 | Arab Shah Construction Company | Younger |
| October |  |  |  |
| October 30, 2019 | 61754, 62139 | Centerra-Parsons Pacific, LLC | Thrasher |
| October 30, 2019 | 57773, 57880 | ASFA International Construction Industry and Trade, Inc. | Cates-Harman |
| October 29, 2019 | 62126 | Precision Metals Corp. | Thrasher |
| October 29, 2019 | 61904 | McClain Contracting Company, Inc. | Thrasher |
| October 29, 2019 | 61517 | Hensel Phelps Construction Co. | McIlmail |
| October 29, 2019 | 59708 | AAR Airlift Group, Inc. | McIlmail |
| October 23, 2019 | 60608 | BES Construction, LLC | McIlmail |
| October 22, 2019 | 61632 | General Atomics Aeronautical Systems, Inc. | Kinner |
| October 21, 2019 | 61135 | General Construction Company | Scott |
| October 18, 2019 | 61492 | Grant Thornton LLP | O'Sullivan |
| October 15, 2019 | 60332 | IBM Corporation | Woodrow |
| October 10, 2019 | 60729 | Fluor International, Inc. | O'Connell |
| October 9, 2019 | 61717, 61718 | King Aerospace Inc. | Woodrow |
| October 9, 2019 | 62146 | American Best Construction Company | McIlmail |
| October 8, 2019 | 61144, 61219 | Sungwoo E&C., Ltd. | McNulty |
| October 4, 2019 | 60502, 60567 | Tetra Tech Tesoro, Inc. | Osterhout |
| October 4, 2019 | 61180 | JAAAT Technical Services, LLC | Osterhout |
| October 3, 2019 | 61443 | URS Federal Services, Inc. | Prouty |
| October 2, 2019 | 62068 | Simon Defense Inc. | Thrasher |
| October 2, 2019 | 61994 | Fid Al-Bahr Company | Thrasher |
| October 2, 2019 | 62158 | Satterfield & Pontikes Construction, Inc. | Page |
| October 1, 2019 | 61942 | Ameresco Select, Inc. | Thrasher |
| October 1, 2019 | 61507 | Accel Pacific Joint Venture | McNulty |
| October 1, 2019 | 62069 | 1stop Repair | Thrasher |
| September |  |  |  |
| September 27, 2019 | 61771 | Northrop Grumman Corporation | Thrasher |
| September 24, 2019 | 61967 | Versar, Inc. | Kinner |
| September 24, 2019 | 61928 | Sidtek LLC | Thrasher |
| September 23, 2019 | 61267, 61772 | Centerra Group, LLC f/k/a The Wackenhut Services, Inc. | Woodrow |
| September 23, 2019 | 61458 | General Dynamics Ordnance and Tactical Systems | McNulty |
| September 19, 2019 | 61680, 61681 | Fibertek, Inc. | Shackleford |
| September 19, 2019 | 61345 | Northrop Grumman Corporation | Shackleford |
| September 18, 2019 | 62156 | Chenega Integrated Mission Support, LLC | Shackleford |
| September 17, 2019 | 61375 | SNVC, L.C. | Cates-Harman |
| September 13, 2019 | 60590, 61776 | Dawson-Alamo1 JV, LLC | Wilson |
| September 12, 2019 | 59977, 60000 | 4H Construction Corporation | Kinner |
| September 12, 2019 | 62044 | Master Marine, Inc. | Thrasher |
| September 11, 2019 | 60446 | Awrish Builders | O'Connell |
| September 11, 2019 | 61755 | Moonschein Industries LLC | Cates-Harman |
| September 10, 2019 | 60152, 60816 | Tigua Enterprises, Inc. | Osterhout |
| September 10, 2019 | 62070 | Advanced Global Resources, LLC | D'Alessandris |
| September 5, 2019 | 61856 | Cameron Bell Corporation d/b/a Gov Solutions Group (GovSG) | McIlmail |
| September 5, 2019 | 62129 | IAP Worldwide Services, Inc. | Thrasher |
| September 4, 2019 | 61621, 61786 | Balfour Beatty/McCarthy, A Joint Venture | Page |
| September 4, 2019 | 61997 | Unity Cable Technologies, Inc. dba Unity Defense Systems | Thrasher |
| September 3, 2019 | 61227 | URS Federal Services, Inc. | O'Sullivan |
| August |  |  |  |
| August 28, 2019 | 61732 | E.R. Williams, Inc. | Clarke |
| August 27, 2019 | 61777, 61908 | Wu & Associates, Inc. | Wilson |
| August 26, 2019 | 61958 | The Boeing Company | Thrasher |
| August 22, 2019 | 62071 | Turner Construction Company | Thrasher |
| August 22, 2019 | 61959 | Langdon Engineering & Mgt. | Clarke |
| August 20, 2019 | 62079 | Advanced Cleaning Technologies, Inc. | Thrasher |
| August 20, 2019 | 58752 | Optimization Consulting, Inc. | Scott |
| August 19, 2019 | 62137 | CenCore Associates, LLC | Thrasher |
| August 19, 2019 | 61281 | Engility, LLC | O'Sullivan |
| August 19, 2019 | 61818 | Advanced Powder Solutions, Inc. | Melnick |
| August 19, 2019 | 61093 | Fluor Federal Solutions, LLC | Clarke |
| August 15, 2019 | 60305 | Better Built + Clark, LLC | Clarke |
| August 14, 2019 | 61712 | Xerox Corporation | Thrasher |
| August 14, 2019 | 61858 | The Jorgensen Forge Corporation | Thrasher |
| August 13, 2019 | 61341 | Northrop Grumman Corporation | Thrasher |
| August 13, 2019 | 61866 | Marine Hydraulics International, LLC | Thrasher |
| August 12, 2019 | 60425, 60682 | Global Engineering & Construction, LLC | Woodrow |
| August 12, 2019 | 61783 | TENICA and Associates LLC | McIlmail |
| August 7, 2019 | 61378 | Tele-Consultants, Inc. | Thrasher |
| August 7, 2019 | 62131 | Adventus Technologies Incorporated | Thrasher |
| August 6, 2019 | 60713, 60714, 60716, 61297, 61298 | L-3 Communications Integrated Systems, L.P. | D'Alessandris |
| August 6, 2019 | 61340 | Northrop Grumman Corporation | Thrasher |
| August 5, 2019 | 61805 | Rizzani de Eccher (USA), Inc. | Shackleford |
| August 5, 2019 | 61819, 61820 | Sand Point Services, LLC | Sweet |
| August 5, 2019 | 61838 | Turner Construction Company | Clarke |
| August 2, 2019 | 60944 | Rizzani de Eccher (USA), Inc. | Young |
| August 2, 2019 | 61713 | Donley-Kirlin Joint Venture | Hartman |
| August 1, 2019 | 58423, 59471, 59472, 59473, 59474, 59475, 59476, 59477, 60037 | Mansoor International Development Services | Melnick |
| August 1, 2019 | 58451, 59465, 59701 | Nassar Group International | Sweet |
| August 1, 2019 | 61274 | DynCorp International LLC | Sweet |
| August 1, 2019 | 61441 | Advanced Systems Technology Management Inc. | Shackleford |
| August 1, 2019 | 61617, 61618, 61619 | Ford Lumber & Building Supply, Inc. | D'Alessandris |
| August 1, 2019 | 61829 | Versar, Inc. | McIlmail |
| August 1, 2019 | 61953 | Steward Machine Company, Inc. | Shackleford |
| August 1, 2019 | 62077 | Hwasan Engineering & Construction Co., Ltd. | Shackleford |
| July |  |  |  |
| July 30, 2019 | 61371 | Potomac Electric Corp. | Young |
| July 30, 2019 | 61677 | Teledyne Scientific & Imaging, LLC | Shackleford |
| July 30, 2019 | 62002, 62078 | Sungjee Construction Co., Ltd. | Shackleford |
| July 29, 2019 | 60721, 60722 | Genesis MW Joint Venture | Page |
| July 26, 2019 | 61608 | Man & Machine, Inc. | Shackleford |
| July 23, 2019 | 61688, 61689 | Stobil Enterprise | Shackleford |
| July 22, 2019 | 59670, 61357 | ECC International, LLC | Cates-Harman |
| July 22, 2019 | 60950 | Patriot Group International, Inc. | D'Alessandris |
| July 22, 2019 | 61656 | R B International General Trading & Contracting Co. | Cates-Harman |
| July 22, 2019 | 61535 | Diversified Maintenance Systems, Inc. | Younger |
| July 22, 2019 | 62043 | Maven Engineering Corporation | Thrasher |
| July 19, 2019 | 61759 | Oxus Afghan Consultancy Group | D'Alessandris |
| July 18, 2019 | 61292, 61828 | Ken Laster Company | Sweet |
| July 18, 2019 | 61936 | Cutter Enterprises, LLC | Cates-Harman |
| July 15, 2019 | 61483 | Long Wave, Inc. | O'Connell |
| July 15, 2019 | 61366, 61450 | TranLogistics LLC | McIlmail |
| July 11, 2019 | 61471 | ASFA Construction | Wilson |
| July 11, 2019 | 61636, 61637 | DCX-CHOL Enterprises, Inc. | Sweet |
| July 11, 2019 | 59046, 59957 | GSC Construction Incorporated | Page |
| July 10, 2019 | 61075 | Black Horse Group, LLC | Sweet |
| July 10, 2019 | 62060 | Neuber Environmental Services, Inc. | Thrasher |
| July 10, 2019 | 60979 | Globe Trailer Manufacturing, Inc. | D'Alessandris |
| July 8, 2019 | 61939, 61940 | Odebrecht Construction, Inc. | Thrasher |
| July 8, 2019 | 60130, 60668, 61611 | BRDC, a Joint Venture | McIlmail |
| July 3, 2019 | 60776 | Falmouth Scientific, Inc. | Prouty |
| July 2, 2019 | 61971 | Podrez Enterprise, LLC | Shackleford |
| July 1, 2019 | 61403 | The Bedwell Company | Young |
| July 1, 2019 | 61344 | Northrop Grumman Corporation | Thrasher |
| July 1, 2019 | 61457 | Advanced System Management Solutions JV, LLC | Thrasher |
| July 1, 2019 | 61594 | Vectrus Systems Corporation | Thrasher |
| July 1, 2019 | 61810 | L3 Technologies, Inc. | Clarke |
| July 1, 2019 | 62000 | Sizewise Rentals, LLC | Thrasher |
| July 1, 2019 | 62045 | Melville Energy Systems, Inc. | Wilson |
| June |  |  |  |
| June 24, 2019 | 60399 | A.A.K.C.C | Hartman |
| June 24, 2019 | 61518, 61961 | Watts Constructors, LLC | Melnick |
| June 21, 2019 | 62023, 62024 | Ameresco Select, Inc. | Thrasher |
| June 21, 2019 | 62020 | Solid Rock Engineering Consultants, Inc. | Thrasher |
| June 20, 2019 | 60977 | CKC Systems, Inc. | Osterhout |
| June 20, 2019 | 61025 | CKC Systems, Inc. | Osterhout |
| June 21, 2019 | 61477 | Manhattan Hunt A Joint Venture | Clarke |
| June 17, 2019 | 59706, 59810 | THR Enterprises, Inc. | O'Connell |
| June 17, 2019 | 61601 | Patricia I. Romero, Inc. dba Pacific West Builders | Clarke |
| June 13, 2019 | 61857 | Oatridge Security Group | Young |
| June 13, 2019 | 61592 | Polaris Alpha, LLC | Young |
| June 11, 2019 | 61167 | Amerifa Construction Company | Thrasher |
| June 11, 2019 | 60548 | T.B. Penick & Sons, Inc. | Thrasher |
| June 11, 2019 | 61985 | WAMAR Technologies, LLC | Thrasher |
| June 11, 2019 | 60532 | Sang Kash Company | Woodrow |
| June 4, 2019 | 62061-990 | Christian & Sons LLC | Thrasher |
| June 4, 2019 | 62036, 62037 | Starrag USA, Inc. | Thrasher |
| June 4, 2019 | 62025 | Goodwill Services, Inc. | Thrasher |
| June 3, 2019 | 61161, 61162 | PROTEC GmbH | Sweet |
| June 3, 2019 | 60398, 60467, 60778 | Grow Life General Trading, LLC | Woodrow |
| May |  |  |  |
| May 30, 2019 | 61409, 61554 | Caddell Construction Co., Inc. | Hartman |
| May 30, 2019 | 60590 | Dawson-Alamo1 JV, LLC | Wilson |
| May 30, 2019 | 60592 | Macro-Z Technology | Wilson |
| May 29, 2019 | 61071, 61595 | Norfolk Dredging Company | Osterhout |
| May 29, 2019 | 61979 | Premier Logistical Center, Inc. | Thrasher |
| May 29, 2019 | 61982 | Charles & Company, Inc. | McIlmail |
| May 29, 2019 | 61981 | Charles & Company, Inc. | McIlmail |
| May 29, 2019 | 60399 | A.A.K.C.C | Hartman |
| May 23, 2019 | 61311 | Oxford Construction of Pennsylvania, Inc. | Thrasher |
| May 23, 2019 | 61427, 61428, 61429 | Distributed Infinity, Inc. | Thrasher |
| May 23, 2019 | 61824 | Great Lakes Dredge & Dock Company, LLC | Clarke |
| May 21, 2019 | 61782 | M.J. Hughes Construction, Inc. | McNulty |
| May 16, 2019 | 61189 | K&K Industries, Inc. | Prouty |
| May 16, 2019 | 61320 | Chugach Federal Solutions, Inc. | D'Alessandris |
| May 16, 2019 | 58623 | Asia Commerce Network | O'Sullivan |
| May 15, 2019 | 61943 | Phoenix Management, Inc. | Thrasher |
| May 15, 2019 | 61185 | PROTEC GmbH | Sweet |
| May 13, 2019 | 59197 | Quimba Software, Inc. | Younger |
| May 8, 2019 | 61605, 61606, 61607 | URS Energy & Construction, Inc. | Thrasher |
| May 8, 2019 | 61932 | Guardian Safety & Supply LLC d/b/a Enviro Safety Products | Cates-Harman |
| May 7, 2019 | 58672 | Electric Boat Corporation | D'Alessandris |
| May 7, 2019 | 60454, 60455, 60669 | CDM Constructors, Inc. | Sweet |
| May 7, 2019 | 61376, 61432 | DirectViz Solutions, LLC | Sweet |
| May 3, 2019 | 61673, 61674, 61675 | Nauset Construction Company | Young |
| May 3, 2019 | 61830 | Alabama Power Company | Thrasher |
| May 3, 2019 | 61948, 61949 | Derbyshire Machine & Tool Company | Thrasher |
| May 2, 2019 | 61562 | Accenture, LLP | D'Alessandris |
| May 1, 2019 | 61826 | Contrack Watts, Inc. | Thrasher |
| May 1, 2019 | 61856 | Cameron Bell Corporation d/b/a Gov Solutions Group (GovSG) | McIlmail |
| May 1, 2019 | 61366, 61450 | TranLogistics LLC | McIlmail |
| May 1, 2019 | 62016-989 | Northrop Grumman Corporation | Thrasher |
| May 1, 2019 | 57530, 58161 | Kellogg Brown & Root Services, Inc. | Melnick |
| May 1, 2019 | 61547 | WIT Associates, Inc. | McIlmail |
| April |  |  |  |
| April 24, 2019 | 61197 | KiewitPhelps | Clarke |
| April 24, 2019 | 61832 | Painter Tool, Inc. | Melnick |
| April 23, 2019 | 61753 | Shoreline Foundation, Inc. | Thrasher |
| April 22, 2019 | 59809 | Relyant, LLC | Prouty |
| April 22, 2019 | 60260 | Clark McCarthy Healthcare Partner II | Hartman |
| April 19, 2019 | 62004 | S.E.G. Inc. | Shackleford |
| April 17, 2019 | 61833 | CJW Contractors, Inc. | Thrasher |
| April 17, 2019 | 59977, 60000 | 4H Construction Corporation | Kinner |
| April 16, 2019 | 61778 | APTIM Federal Services, LLC | Thrasher |
| April 15, 2019 | 61400, 61401 | Raytheon Company | Prouty |
| April 15, 2019 | 61302 | San Antonio Lighthouse for the Blind | Page |
| April 15, 2019 | 60933 | King Aerospace, Inc. | McIlmail |
| April 11, 2019 | 61519 | NMS Management, Inc. | Paul |
| April 10, 2019 | 61883 | Cardno GS, Inc. | Thrasher |
| April 10, 2019 | 61320 | Chugach Federal Solutions, Inc. | D'Alessandris |
| April 10, 2019 | 61980 | Bethel Federal-UNIT JV | Thrasher |
| April 10, 2019 | 61875 | QAF Technologies, Inc. | Shackleford |
| April 10, 2019 | 57890, 58335, 59103 | Pyrotechnic Specialties, Inc. | Page |
| April 9, 2019 | 61929 | National Steel & Shipbuilding Company | Thrasher |
| April 9, 2019 | 61885 | A&D General Contracting, Inc. | Thrasher |
| April 9, 2019 | 59791, 59792 | Maersk Line Limited | Younger |
| April 8, 2019 | 62015 | Stonewin Capital, LP | Thrasher |
| April 8, 2019 | 61927 | Grahams Construction Inc. | Wilson |
| April 8, 2019 | 61655 | Reagent World, Inc. | Thrasher |
| April 8, 2019 | 60825 | Patricia I. Romero, Inc. dba Pacific West Builders | O'Sullivan |
| April 5, 2019 | 59057 | Symbion-Ozdil-Al Namarq Joint Venture | Kinner |
| April 5, 2019 | 59058 | Symbion Power, LLC | Kinner |
| April 5, 2019 | 59994 | Symbion-Ozdil-Amjad Dar Essalam Joint Venture | Prouty |
| April 4, 2019 | 58975 | M.L. Energia, Inc. | Shackleford |
| April 4, 2019 | 61359 | Name Redacted | Hartman |
| April 4, 2019 | 61954 | ServeFed, Inc. | Thrasher |
| April 3, 2019 | 61180 | JAAAT Technical Services, LLC | Osterhout |
| April 1, 2019 | 61440 | Meopta U.S.A., Inc. | Young |
| April 1, 2019 | 61448 | Contrack Watts, Inc. | Thrasher |
| April 1, 2019 | 61852 | Qwest Government Services, Inc. d/b/a CenturyLink QGS | Shackleford |
| April 1, 2019 | 61770 | Qwest Government Services, Inc. d/b/a CenturyLink QGS | Shackleford |
| April 1, 2019 | 61957 | Dr. Larry Alenbaugh | Thrasher |
| March |  |  |  |
| March 28, 2019 | 58686, 59536, 59537, 59538, 59539 | YDA-AFCON JV | Wilson |
| March 28, 2019 | 60622, 60624, 60457, 60761, 60842 | GCC McCarthy Joint Venture IV | McNulty |
| March 28, 2019 | 61736 | Colonna's Shipyard, Inc. | Thrasher |
| March 28, 2019 | 61880 | Shamrock Properties, LLC | Thrasher |
| March 28, 2019 | 61892 | Meltech Corp., Inc. | Thrasher |
| March 25, 2019 | 61574 | TranLogistics LLC | Kinner |
| March 25, 2019 | 61524 | General Dynamics - National Steel and Shipbuilding Company | Sweet |
| March 22, 2019 | 61473, 61474 | Turner Construction Company | McNulty |
| March 22, 2019 | 61475, 61476 | Turner Construction Company | McNulty |
| March 21, 2019 | 61120 | Volmar Construction, Inc. | Page |
| March 21, 2019 | 61170 | Crosstown Courier Service | McNulty |
| March 21, 2019 | 61902 | Delaware River Stevedores, Inc. | Thrasher |
| March 20, 2019 | 61816 | GSI & Whitesell-Green, JV | O'Connell |
| March 19, 2019 | 61812 | L3 Technologies, Inc. | Clarke |
| March 18, 2019 | 59252, 59450, 59598, 59814, 59815 | Lulus Ostrich Ranch | McIlmail |
| March 18, 2019 | 61387, 61388 | The Boeing Company | O'Connell |
| March 15, 2019 | 61255, 61256, 61257 | URS Energy & Construction, Inc. | Thrasher |
| March 15, 2019 | 61951 | AWA Wilson JV | Thrasher |
| March 14, 2019 | 61964 | Maven Engineering Corporation | Thrasher |
| March 14, 2019 | 61540, 61541 | JSR ECC LLC | Cates-Harman |
| March 12, 2019 | 61808, 61809 | Ben Fitzgerald Real Estate Services, LLC dba Rosemark | Thrasher |
| March 12, 2019 | 61938 | FirstChoice (Group) America LLC | Thrasher |
| March 12, 2019 | 61348, 61351, 61536, 61537 | Cooper/Ports America, LLC | Sweet |
| March 12, 2019 | 61199, 61200 | University of Maryland | Thrasher |
| March 12, 2019 | 61349, 61350 | Cooper/Ports America, LLC | Sweet |
| March 11, 2019 | 61371 | Potomac Electric Corp. | Young |
| March 11, 2019 | 61369 | VSE Corporation | Kinner |
| March 7, 2019 | 61742 | The Boeing Company | Thrasher |
| March 7, 2019 | 61168, 61455, 61653, 61654, 61734 | Firewatch Contracting of Florida, LLC | Osterhout |
| March 7, 2019 | 61271, 61494 | Argo Systems, LLC | Shackleford |
| March 7, 2019 | 61542 | Curtis Jue | Page |
| March 5, 2019 | 61679 | Pioneer Aerospace Corporation | Thrasher |
| March 4, 2019 | 59138, 59586, 59643, 60284 | ECC International Constructors, LLC | McIlmail |
| March 4, 2019 | 61894 | Northrop Grumman Corporation | Thrasher |
| March 1, 2019 | 59913 | CiyaSoft Corporation | McNulty |
| February |  |  |  |
| February 28, 2019 | 61591 | SolPac Construction, Inc. d/b/a Soltek Pacific Construction Company | McNulty |
| February 27, 2019 | 61825 | The Aulson Company, Inc. | Young |
| February 26, 2019 | 61365 | Harris Corporation | Thrasher |
| February 22, 2019 | 61860 | Harry Pepper and Associates, Inc. | Thrasher |
| February 21, 2019 | 60223, 60224 | University of Maryland | Thrasher |
| February 21, 2019 | 60852 | Phoenix Systems, Inc. | Younger |
| February 19, 2019 | 61269, 61405 | R&R System Solutions, LLC | Osterhout |
| February 19, 2019 | 60164 | HK&S Construction Holding Corp. | McIlmail |
| February 14, 2019 | 61553 | Europe Asia Construction Logistic | Osterhout |
| February 14, 2019 | 61827 | Acsential Technologies, Inc. | Shackleford |
| February 12, 2019 | 61289, 61372 | MARS Construction Company aka MARS Construction and Engineering Service Co. | Osterhout |
| February 12, 2019 | 61565 | Arab Shah Construction Company | Younger |
| February 11, 2019 | 61368 | DRS Global Enterprise Solutions, Inc. | O'Connell |
| February 11, 2019 | 61751 | Harris Corporation | Thrasher |
| February 11, 2019 | 61842 | Airport Equipment Rentals | McIlmail |
| February 11, 2019 | 61900 | PAE National Security Solutions | Thrasher |
| February 8, 2019 | 61760 | U.S. Aeroteam, Inc. | Shackleford |
| February 8, 2019 | 61761 | CSE Enterprises, LLC | Shackleford |
| February 8, 2019 | 61909 | Advanced Global Resources, LLC | Young |
| February 7, 2019 | 61398 | Exeter Government Services, LLC | Melnick |
| February 7, 2019 | 61886 | C.R. Powless & Co. LLC | McNulty |
| February 7, 2019 | 61915 | Crowley Government Services, Inc. | Osterhout |
| February 6, 2019 | 59252, 59450, 59598, 59814, 59815 | Lulus Ostrich Ranch | McIlmail |
| February 6, 2019 | 61571 | Heirs of Khair Mohammad | Sweet |
| February 5, 2019 | 61671 | Sea Cycle Construction Company | Prouty |
| February 5, 2019 | 61447 | General Atomics Systems Integration, LLC | Melnick |
| February 5, 2019 | 61471 | ASFA Uluslararasi Insaat Sanayi Ve Ticaret AS | Wilson |
| February 5, 2019 | 61839 | Navid Kohsar Construction Company | Wilson |
| February 1, 2019 | 60987 | Phoenix Hawk Construction Company | Younger |
| January |  |  |  |
| January 29, 2019 | 61779, 61780, 61781 | 3 Chefs Downtown Inc. | Cates-Harman |
| January 29, 2019 | 61113, 61248 | Greenland Contractors I/S | D'Alessandris |
| January 29, 2019 | 60641 | Nexagen Networks, Inc. | O'Connell |
| January 28, 2019 | 61459, 61460 | Signature Performance, Inc. | Cates-Harman |
| January 28, 2019 | 58672 | Electric Boat Corporation | D'Alessandris |
| January 24, 2019 | 58653 | SI-HLH-JV | Kinner |
| January 24, 2019 | 59746, 59818, 60134, 60385, 61895 | Highland Al Hujaz Co., Ltd. | Sweet |
| January 24, 2019 | 58071 | SI-HLH-JV | Kinner |
| January 24, 2019 | 58652 | Highland Al Hujaz Co., Ltd. | Kinner |
