Title: Decisions

URL Source: https://www.asbca.mil/Decisions/

Markdown Content:
| Decision Date | ASBCA Number | Appellant/Petitioner | Judge |
| --- | --- | --- | --- |
| September |  |  |  |
| June 17, 2025 | 63964-ADR | W.M. Schlosser Co., Inc. | D'Alessandris |
| June 11, 2025 | 64007 | WKF (FRIEDMAN) ENTERPRISES, INC. | Stinson |
| June 10, 2025 | 64009 | Charles F. Day & Associates, LLC | Thrasher |
| June 9, 2025 | 62967 | DTH Corporation | Woodrow |
| June 4, 2025 | 63923 | DCX-CHOL Enterprises, Inc. | Eyester |
| June 3, 2025 | 61144, 61219 | Sungwoo E&C., Ltd. | Stinson |
| June 3, 2025 | 61959, 63501 | Langdon Engineering & Mgt | Woodrow |
| May |  |  |  |
| May 28, 2025 | 61633, 61731 | General Atomics Aeronautical Systems, Inc. | Melnick |
| May 27, 2025 | 63509 | Science Applications International Corporation | McLish |
| May 27, 2025 | 63737 | Zafer Taahhut Insaat Ve Ticaret | Thrasher |
| May 27, 2025 | 62596-ADR | Northrop Grumman Missile Systems | Arnett |
| May 27, 2025 | 61380 | GSC Construction, Inc. | Sweet |
| May 22, 2025 | 64160 | Torden, LLC | Thrasher |
| May 22, 2025 | 63939 | Abu Dhabi Supplies & Commercial Services Establishment | Thrasher |
| May 20, 2025 | 63876-ADR | Danko Arlington, Inc. | Stinson |
| May 20, 2025 | 63425, 63546 | LED Lighting Solutions, LLC | Cates-Harman |
| May 19, 2025 | 63615 | Pontchartrain Partners, LLC | Witwer |
| May 16, 2025 | 63252, 63456, 63626, 63961 | A4 Construction Company, Inc | Taylor |
| May 16, 2025 | 63220 | Cueto Consulting & Construction LLC | Wilson |
| May 15, 2025 | 63087-ADR, 63205-ADR | Patriot Construction, LLC | Page |
| May 14, 2025 | 61933, 61934 | U.S. Aeroteam, Inc. | O'Connell |
| May 13, 2025 | 64133 | KBR Services, LLC | Arnett |
| May 12, 2025 | 63765 | URS Group, Inc. | Prouty |
