Title: 亞洲田徑紀錄列表

URL Source: https://zh.wikipedia.org/zh-cn/%E4%BA%9E%E6%B4%B2%E7%94%B0%E5%BE%91%E7%B4%80%E9%8C%84%E5%88%97%E8%A1%A8

Published Time: 2014-09-30T16:13:58Z

Markdown Content:
**亚洲田径纪录**是 亚洲田径总会 会员国运动员在各项目创下的最佳成绩。

**标示**： 等待承认 亚洲田径协会未纪录 亚洲田径协会不承认之纪录

ht = hand timing

+ = en route to a longer distance

A = affected by altitude

a = aided road course according to IAAF rule 260.28

# = not recognised by association

nw = no wind measurement

! = timing by photo-electric cell

刘翔 于奥林匹克运动会夺得金牌，曾于 110米跨栏 项目打破世界纪录，迄今仍为亚洲纪录保持者。

十项全能 纪录保持者 德米特里·卡尔波夫

| 项目 | 纪录 | 运动员 | 国籍 | 日期 | 赛事 | 地点 | 参考 |
| Long jump | 8.48 m (+0.6 m/s) | Mohamed Salman Al-Khuwalidi | 沙特阿拉伯 | 2006年7月2日 |  | 法国 索特维尔 |  |
| 三级跳远 | 17.59 m (0.0 m/s) | 李延熙 | 中国 | 2009年10月26日 | 中国全国运动会 | 中国 济南市 | [10] |
| 铅球 | 21.13 m | Sultan Abdulmajeed Al-Hebshi | 沙特阿拉伯 | 2009年5月8日 | 卡达田径超级大奖赛 | 卡塔尔 多哈 |  |
| 铁饼 | 69.32 m | 伊赫桑·哈达迪 | 伊朗 | 2008年6月3日 |  | 爱沙尼亚 塔林 |  |
| 链球 | 84.86 m | 室伏广治 | 日本 | 2003年6月29日 |  | 捷克 布拉格 |  |
| 掷标枪 | 92.97 m | 艾尔沙德·纳迪姆 | 巴基斯坦 | 2024年8月8日 | 奥林匹克运动会 | 法国 巴黎 | [11] |
| 十项全能 | 8725 pts | 德米特里·卡尔波夫 | 哈萨克斯坦 | 2004年8月23日至24日 | 奥林匹克运动会 | 希腊 雅典 | [12] |
| | 100米 (wind) | 跳远 (wind) | 铅球 | 跳高 | 400米 | 110米跨栏 (wind) | 铁饼 | 撑竿跳高 | 标枪 | 1500米 | | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | | 10.50 (+2.2 m/s) | 7.81 m (-0.9 m/s) | 15.93 m | 2.09 m | 46.81 | 13.97 (+1.5 m/s) | 51.65 m | 4.60 m | 55.54 m | 4:38.11 | |  |
| 5000米竞走（跑道） | 18:37.22 | 铃木雄介 | 日本 | 2015年7月12日 | Hokuren Distance Challenge | 日本 北见市 | [13] |
| 5000米竞走（公路） | 19:04+ # | 铃木雄介 | 日本 | 2015年3月15日 | Asian Race Walking Championships | 日本 能美市 | [14] |
