Title: 亞洲田徑紀錄列表

URL Source: https://zh.wikipedia.org/zh-cn/%E4%BA%9E%E6%B4%B2%E7%94%B0%E5%BE%91%E7%B4%80%E9%8C%84%E5%88%97%E8%A1%A8

Published Time: 2014-09-30T16:13:58Z

Markdown Content:
**亚洲田径纪录**是 亚洲田径总会 会员国运动员在各项目创下的最佳成绩。

**标示**： 等待承认 亚洲田径协会未纪录 亚洲田径协会不承认之纪录

ht = hand timing

+ = en route to a longer distance

A = affected by altitude

a = aided road course according to IAAF rule 260.28

# = not recognised by association

nw = no wind measurement

! = timing by photo-electric cell

刘翔 于奥林匹克运动会夺得金牌，曾于 110米跨栏 项目打破世界纪录，迄今仍为亚洲纪录保持者。

十项全能 纪录保持者 德米特里·卡尔波夫

| 项目 | 纪录 | 运动员 | 国籍 | 日期 | 赛事 | 地点 | 参考 |
| 8.38 m | Nikita Loginov | 乌兹别克斯坦 | 2018年2月3日 |  | 乌兹别克斯坦 塔什干 |  |  |
| 三级跳远 | 17.41 m | 董斌 | 中国 | 2016年2月29日 | 中国全国室内田径锦标赛南京站男子组 | 中国 江苏省南京市 |  | [48] |
| 铅球 （7.26公斤） | 20.51米 | Ivan Ivanov | 哈萨克斯坦 | 2016年1月30日 |  | 哈萨克斯坦 Ust-Kamenogorsk |  | [49] |
| 七项全能 | 6229 pts | 德米特里·卡尔波夫 | 哈萨克斯坦 | 2008年2月15-16日 |  | 爱沙尼亚 塔林 |  |  |
| 7.07 _(60 m)_, 7.21 m _(long jump)_, 16.23 m _(shot put)_, 2.07 m _(high jump)_ / 7.99 _(60 m hurdles)_, 5.15 m _(pole vault)_, 2:43.69 _(1000 m)_ |  |  |
| 5000米竞走 | 19:14.00 | Sergey Korepanov | 哈萨克斯坦 | 1995年1月28日 |  | 哈萨克斯坦 卡拉干达 |  |  |
| 10000 m walk | 38:23.73 [50] | 王镇 | 中国 | 2015年2月8日 | Trofeo Ugo Frigerio | 意大利 热那亚 |  | [51] |
| 4×200米接力 | 1:27.04 | **日本法政大学** 岩永恒 杉本龙勇 增川邦明 加藤晴康 | 日本 | 1991年3月3日 |  | 日本 神奈川县横滨市 |  |  |
| 4×400米接力 | 3:05.90 | 高桥和裕 小坂田淳 简优好 苅部俊二 | 日本 | 1999年3月6日 | 世界锦标赛 | 日本 群马县前桥市 |  |  |
| 4×800米接力 | 8分48.6秒（手动）# | 川崎俊二 中尾胜美 川庄进 杉崎隆志 | 日本 | 1961年3月19日 |  | 日本 东京都 | 手动计时 |  |

| 项目 | 成绩 | 保持人 | 代表国家 | 日期 | 赛别 | 地点 | 备注 | 参考 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 50米 | 6.31+ | Susanthika Jayasinghe | 斯里兰卡 | 2001年2月25日 | Meeting Pas de Calais | 法国 列万 |  |  |
| 60米 | 7.09 | Susanthika Jayasinghe | 斯里兰卡 | 1999年2月7日 | Sparkassen Cup | 德国 斯图加特 |  |  |
| 60码 | 6.7（手动） | 纪政 | 台湾 | 1970年 | 美国室内田径锦标赛 | 美国 | 手动计时 |  |
| 200米 | 22.99 | Susanthika Jayasinghe | 斯里兰卡 | 2001年3月9日 | 世界室内田径锦标赛 | 葡萄牙 里斯本 |  | [52] |
| 400米 | 51.45 | 克米·阿德科亚 | 巴林 | 2016年3月19日 | 世界室内田径锦标赛 | 美国 波特兰 |  | [53] |
| 800米 | 2:00.78 | 杉森美保 | 日本 | 2003年2月22日 |  | 日本 横滨市 |  |  |
| 1000米 | 2:46.6（手动） | 耿秀娟 | 中国 | 1987年3月27日 | 北京地区冬季田径赛 | 中国 北京市 | 手动计时 |  |
| 1500米 | 3:59.79 | 玛丽·尤索夫·贾马尔 | 巴林 | 2008年3月9日 | 世界室内田径锦标赛 | 西班牙 巴伦西亚 | 埃塞俄比亚 归化 | [54] |
| 1英里赛跑 | 4:24.71 | 玛丽·尤索夫·贾马尔 | 巴林 | 2010年2月20日 | 伯明翰室内大奖赛 | 英国 英格兰伯明翰 | 埃塞俄比亚 归化 | [55] |
| 2000米 | 5:55.6（手动） | 刘剑英 | 中国 | 1994年3月18日 | 北京地区室内田径赛 | 中国 北京市 | 手动计时 |  |
| 3000米 | 8:41.34 | 董艳梅 | 中国 | 2001年3月10日 | 世界室内田径锦标赛 | 葡萄牙 里斯本 |  | [56] |
| 5000米 | 15:34.70 | Alia Saeed Mohammed | 阿联酋 | 2015年2月19日 | XL Galan | 瑞典 爱立信球形体育馆 | 埃塞俄比亚 归化 | [38] |
| 15:56.38 | Sitora Hamidova | 乌兹别克斯坦 | 2018年1月26日 |  | 乌兹别克斯坦 塔什干 |  |  |
| 50米跨栏 | 6.70 | Olga Shishigina | 哈萨克斯坦 | 1999年2月5日 |  | 匈牙利 布达佩斯 |  |  |
| 55米跨栏 | 7.59秒 | Sau Ying Chan | 英属香港 | 1994年2月26日 |  | 美国 亚利桑那州Flagstaff |  |  |
| 60米跨栏 | 7.82 | Olga Shishigina | 哈萨克斯坦 | 1999年2月21日 | Meeting Pas de Calais | 法国 列万 |  |  |
| 跳高 | 1.98 m | Svetlana Zalevskaya | 哈萨克斯坦 | 1996年3月2日 |  | 俄罗斯 萨马拉 |  |  |
| 撑杆跳高 | 4.70 m | 李玲 | 中国 | 2016年2月19日 | 亚洲室内田径锦标赛 | 卡塔尔 阿斯拜尔体育馆 |  | [57] |
| 跳远 | 6.82 m | 杨娟 | 中国 | 1992年3月13日 | 北京地区室内田径赛 | 中国 北京市 |  |  |
| 6.96 m | Wang Yanping | 中国 | 2017年2月4日 | National Championships | 阿塞拜疆 巴库 |  |  |
| 三级跳远 | 15.14 m | 奥尔加·雷帕科娃 | 哈萨克斯坦 | 2010年3月13日 | 世界室内田径锦标赛 | 卡塔尔 多哈 |  | [58] |
| 铅球 | 21.10 m | 隋新梅 | 中国 | 1990年3月3日 | 北京地区冬季田径赛 | 中国 北京市 |  |  |
| 五项全能 | 4582 pts | 奥尔加·雷帕科娃 | 哈萨克斯坦 | 2006年2月10日 | 亚洲室内田径锦标赛 | 泰国 芭达亚 |  |  |
| 8.68 _(60 m hurdles)_, 1.88 m _(high jump)_, 12.90 m _(shot put)_, 6.55 m _(long jump)_, 2:23.26 _(800 m)_ |  |  |
| 3000米竞走 | 12:42.65 | 佐藤优子 | 日本 | 1994年2月11日 |  | 日本 大阪市 |  |  |
| 4×200米接力 | 1:42.80 | 北川政代 野村绫子 横山喜美子 Kyoko Kumata | 日本 | 1991年3月3日 |  | 日本 横滨市 |  |  |
| 1分36.40秒 |  | 哈萨克斯坦 | 2017年2月11日 |  | 哈萨克斯坦 Ust-Kamenogorsk |  |  |
| 4×400米接力 | 3:35.07 | Alwa Eid Naserand Uwaseun Yusuf Jamal Iman Essa Jasim 克米·阿德科亚 | 巴林 | 2016年2月21日 | 亚洲室内田径锦标赛 | 卡塔尔 杜哈 |  | [59] |

1.   **^**IOC. 田径 - 决赛 成绩. IOC.  [2021-08-01]. （原始内容 存档于2021-08-01） （中文（中国大陆））.
2.   **^**400m Men - Heats Results. IAAF. 2015-08-23  [2015-08-23]. （原始内容 存档 于2015-08-24）.
3.   **^**600 Metres Result(PDF). Samsung Diamond League. IAAF. 2013-08-22  [2013-08-23].[永久失效链接]
4.   **^**5000 Metres Results(PDF). Samsung Diamond League. Omega Timing. 2013-07-19  [2013-07-23]. （原始内容(PDF)存档于2013-11-01）.
5.   **^**第４３回全日本実業団ハーフマラソン大 (The 43rd All-Japan business group Half Marathon)(PDF). 2015-02-15  [2015-08-27]（日语）.[永久失效链接]
6.   ^ **6.0****6.1**One Hour Records （页面存档备份，存于 互联网档案馆）. IAAF. Retrieved on 2009-05-20.
7.   **^**World Athletics. www.worldathletics.org.  [2021-07-29]. （原始内容 存档于2021-06-24）.
8.   **^**High Jump Results. IAAF. 2014-09-05  [2014-09-06]. （原始内容 存档 于2014-09-06）.
9.   **^**Obiena joins pole vault's six-metre club in Bergen. World Athletics. 2023-06-10  [2024-08-06]. （原始内容 存档 于2025-02-04） （英语）.
10.   **^**28年1月零21天 李延熙破中国田径最古老纪录夺冠. www.sports.sina.com. 2009-10-26  [2009-10-26]. （原始内容 存档 于2009-10-29） （中文）.
11.   **^**Pakistan's Arshad Nadeem breaks Olympic record with 92.97m throw in javelin final. Anadolu Ajansi. 2024-08-08  [2024-08-09]. （原始内容 存档 于2024-08-09）.
12.   **^**Decathlon Results. IAAF. 2004-08-24  [2010-04-02]. （原始内容 存档于2011-06-05）.
13.   **^**25/07/2015 Japan: Hokuren Distance Challenge. marciadalmondo.com. 2015-07-25  [2016-07-14]. （原始内容 存档 于2016-08-19）.
14.   ^ **14.0****14.1**Asian Race Walking Championships 2015 Results(PDF). AAA. 2015-03-15  [2015-03-16].[永久失效链接]
15.   **^**6th NAGASAKI Race Walking Meeting 2015 – 10000m Race Walk Results(PDF). marciadalmondo.com. 2015-12-13  [2016-07-14]. （原始内容 存档(PDF)于2021-01-14）.
16.   **^**Teenager Wang Zhen blazes 37:44 over 10Km in Beijing – IAAF Race Walking Challenge Final. IAAF. 2010-09-18  [2010-09-18]. （原始内容 存档 于2010-09-21）.
17.   **^**Suzuki Breaks 20km Race Walk World Record. IAAF. 2015-03-15  [2015-03-15]. （原始内容 存档 于2015-03-17）.
18.   **^**Men's 4×100m Relay Results(PDF). Rio 2016 official website. 2016-08-19  [2016-08-20]. （原始内容(PDF)存档于2016-09-20）.
19.   **^**4x200 metres relay records （页面存档备份，存于 互联网档案馆）. IAAF. Retrieved on 2009-05-22.
20.   **^**4x800 metres relay records （页面存档备份，存于 互联网档案馆）. IAAF. Retrieved on 2009-05-22.
21.   **^**Men's 4×1500m Relay Results. IAAF. 2014-05-25  [2014-05-26]. （原始内容 存档 于2014-05-26）.
22.   **^**100y Race Heat 1 Results(PDF). zlatatretra.cz. 2011-05-31  [2017-02-18]. （原始内容(PDF)存档于2017-02-19）.
23.   **^**Two Miles Results(PDF). www.diamondleague-eugene.com. 2014-05-31  [2014-06-01]. （原始内容(PDF)存档于2014-06-02）.
24.   ^ **24.0****24.1****24.2**Violah Jepchumba Prague Half Marathon Result. runczech.com. 2017-04-01  [2018-01-12].[失效链接]
25.   ^ **25.0****25.1**Violah Jepchumba Prague Half Marathon Result. runczech.com. 2017-04-01  [2018-01-12].[失效链接]
26.   ^ **26.0****26.1****26.2****26.3****26.4**Mizuki Noguchi Marathon Result. www.real-berlin-marathon.com. 2005-09-25  [2010-05-03].[永久失效链接]
27.   **^**2000m Steeplechase Result. istaf.de. 2015-09-06  [2017-02-19]. （原始内容 存档 于2017-02-20）.
28.   **^**3000m Steeplechase Results(PDF). sportresult.com. 2016-08-27  [2016-08-27]. （原始内容(PDF)存档于2016-10-17）.
29.   **^**Nikitaridis, Michalis (2009-07-13). 15.00m Triple Jump world lead for Savigne in Athens - IAAF World Athletics Tour （页面存档备份，存于 互联网档案馆）. IAAF. Retrieved on 2009-07-13.
30.   **^**Li Ling improves area record. AAA. 2015-06-06  [2015-06-06]. （原始内容 存档于2015-06-10）.
31.   **^**Triple Jump Results(PDF). IAAF. 2010-09-04  [2010-09-05]. （原始内容(PDF)存档于2011-05-11）.
32.   **^**Mirko Jalava. Wang smashes Asian hammer record in China. IAAF. 2014-03-29  [2014-03-30]. （原始内容 存档 于2014-03-30）.
33.   **^**Javelin Throw Qualification Results(PDF). IAAF. 2017-08-06  [2017-08-06]. （原始内容 存档(PDF)于2019-07-20）.
34.   **^**Mirko Jalava. Walking records galore at China's National University Games. IAAF. 2012-09-18  [2012-09-21]. （原始内容 存档 于2012-09-22）.
35.   **^**Liu breaks 20km race walk world record in La Coruna. IAAF. 2015-06-06  [2015-06-06]. （原始内容 存档 于2016-06-27）.
36.   **^**50km Race Walk Results(PDF). IAAF. 2017-08-13  [2017-08-13]. （原始内容 存档(PDF)于2017-08-13）.
37.   **^**4×200m Relay Heats Results(PDF). IAAF. 2017-04-22  [2017-04-23]. （原始内容 存档(PDF)于2017-08-27）.
38.   ^ **38.0****38.1**XL Galan 2015 Complete Results. xlgalan.com. 2015-02-19  [2015-02-19]. （原始内容 存档于2015-02-19）.
39.   **^**Mike Rowbottom. Dibaba and Souleiman break world indoor records in Stockholm. IAAF. 2016-02-17  [2016-02-18]. （原始内容 存档 于2016-02-18）.
40.   **^**600m Results(PDF). ARAF. 2014-02-02  [2014-02-04]. （原始内容(PDF)存档于2014-02-21）.
41.   **^**800 Metres Results(PDF). 国际田径联合会. 2008-03-09  [2009-09-06]. （原始内容(PDF)存档于2011-06-29）.
42.   **^**Men's 2 Mile Run Invitational Results. www.armory.milesplit.com. 2015-01-31  [2015-01-31]. （原始内容 存档于2015-02-03）.
43.   **^**5000m Results(PDF). British Athletics. 2017-02-18  [2017-02-18]. （原始内容(PDF)存档于2017-02-21）.
44.   **^**60 Metres Hurdles Results(PDF). www.uka.org.uk. 2012-02-18  [2012-02-19]. （原始内容(PDF)存档于2012-04-25）.
45.   **^**Matthew Brown. Liu Xiang, Clarke, Ennis and Defar delight Birmingham. 国际田径联合会. 2012-02-18  [2012-02-19]. （原始内容 存档 于2012-02-20）.
46.   **^**Jon Mulkeen. Barshim improves Asian indoor high jump record to 2.41m in Athlone. IAAF. 2015-02-18  [2015-02-19]. （原始内容 存档 于2015-02-19）.
47.   **^**Jalava, Mirko. Su Xiongfeng soars to world leading 8.27m Long Jump in China. 国际田径联合会. 2010-03-11  [2010-03-11]. （原始内容 存档 于2010-03-23）.
48.   **^**Dong Bin leaps Asian indoor triple jump record of 17.41m in Nanjing. IAAF. 2016-02-29  [2016-03-05]. （原始内容 存档 于2016-03-01）.
49.   **^**Mirko Jalava. Zhang Jun's Asian Shot Put record highlights chinese indoor season opener. 国际田径联合会. 2012-02-14  [2012-02-14]. （原始内容 存档 于2012-02-16）.
50.   **^**probably outdoor
51.   **^**Marcia, Wang 38:23.73 al Frigerio. FIDAL. 2015-02-09  [2015-03-20]. （原始内容 存档 于2015-03-15） （意大利语）.
52.   **^**200 Metres Heats Results. 国际田径联合会. 2001-03-09  [2010-05-26]. （原始内容 存档于2011-05-14）.
53.   **^**400m Results(PDF). IAAF. 2016-03-19  [2016-03-20]. （原始内容 存档(PDF)于2016-03-30）.
54.   **^**1500 Metres Results(PDF). 国际田径联合会. 2008-03-09  [2009-09-06]. （原始内容(PDF)存档于2012-10-23）.
55.   **^**Mile Run Results(PDF). UK Athletics. 2010-02-20  [2012-03-14]. （原始内容(PDF)存档于2012-04-26）.
56.   **^**3000 Metres Results. 国际田径联合会. 2001-03-10  [2010-05-27]. （原始内容 存档于2009-03-14）.
57.   **^**Bob Ramsak. Records tumble on first day of Asian Indoor Championships. IAAF. 2016-02-19  [2016-02-19]. （原始内容 存档 于2016-02-20）.
58.   **^**Triple Jump Results(PDF). 国际田径联合会. 2010-03-13  [2010-03-13]. （原始内容(PDF)存档于2010-03-26）.
59.   **^**Bob Ramsak. Al-Garni clinches second successive double on final day of Asian Indoor Championships. IAAF. 2016-02-21  [2016-02-21]. （原始内容 存档 于2016-02-22）.

*   Asian Athletics Association website*（页面存档备份，存于 互联网档案馆）. Asian Athletics Association (2011年5月19日). Retrieved on 2011年6月22日.
*   Asian Indoor Records & Best Performances[永久失效链接]. Asian Athletics Association (2012年2月14日). Retrieved on 2012年3月14日.
