Title: 19th Asian Games | Results  | World Athletics

URL Source: https://worldathletics.org/competition/calendar-results/results/7147637

Markdown Content:
Men's 100 Metres
----------------

**Round 1 - Heat 1**, Wind: -0.2

| Place | Name | Birth Date |  | Mark |
| 2. | Zhaozhao WANG | 01 SEP 1999 | CHN | 1:24:08 |
| 3. | Yutaro MURAYAMA | 29 SEP 1998 | JPN | 1:24:41 |
| 4. | Tomohiro NODA | 24 JAN 1996 | JPN | 1:27:08 |
| 5. | Vikash SINGH | 06 JUL 1996 | IND | 1:27:33 |
| 6. | Byeongkwang CHOE | 07 APR 1991 | KOR | 1:29:18 |
| 7. | Chia-Wei HSU | 12 SEP 2000 | TPE | 1:31:19 |
| 8. | Georgiy SHEIKO | 24 AUG 1989 | KAZ | 1:32:40 |
| 9. | Hendro HENDRO | 25 JAN 1990 | INA | 1:36:17 |
| 10. | Man Kit CHIN | 20 JUL 1991 | HKG | 1:37:43 |
|  | Sandeep KUMAR | 01 MAY 1986 | IND | DQ |

Women's 100 Metres
------------------

**Round 1 - Heat 1**, Wind: +1.3

| Place | Name | Birth Date |  | Mark |
| --- | --- | --- | --- | --- |
| 1. | Manqi GE | 13 OCT 1997 | CHN | 11.17 |
| 2. | Edidiong Ofinome ODIONG | 13 MAR 1997 | BRN | 11.34 |
| 3. | Thi Nhi Yen TRAN | 09 JUL 2005 | VIE | 11.59 |
| 4. | Aziza SBAITY | 17 NOV 1991 | LBN | 11.71 |
| 5. | Daeun KIM | 03 MAY 2003 | KOR | 11.72 |
| 6. | Chun Ki KONG | 17 FEB 1998 | HKG | 11.87 |
| 7. | Mariyam Alhaa HUSSAIN | 05 MAR 2003 | MDV | 12.52 |
| - | Arooj KIRAN | 27 APR 1993 | PAK | DQ |

**Round 1 - Heat 2**, Wind: +0.3

| Place | Name | Birth Date |  | Mark |
| --- | --- | --- | --- | --- |
| 1. | Hajar AL KHALDI | 17 MAR 1995 | BRN | 11.34 |
| 2. | Supanich POOLKERD | 28 NOV 1997 | THA | 11.36 |
| 3. | Veronica Shanti PEREIRA | 20 SEP 1996 | SGP | 11.42 |
| 4. | Farzaneh FASIHI | 03 JAN 1993 | IRI | 11.70 |
| 5. | Im Lan LOI | 06 FEB 1998 | MAC | 11.79 |
| 6. | Tameen KHAN | 02 OCT 2001 | PAK | 12.42 |
| 7. | Silina PHA APHAY | 29 MAR 1996 | LAO | 12.58 |
| 8. | Sarangua ENKHBAATAR | 11 AUG 1994 | MGL | 13.07 |
| 9. | Kimia YOUSOFI | 20 MAY 1996 | AFG | 13.32 |

**Round 1 - Heat 3**, Wind: 0.0

| Place | Name | Birth Date |  | Mark |
| --- | --- | --- | --- | --- |
| 1. | Yongli WEI | 11 OCT 1991 | CHN | 11.35 |
| 2. | Hamideh Esmaiel NEJAD | 23 JUL 1997 | IRI | 11.57 |
| 3. | Kristina Marie KNOTT | 25 SEP 1995 | PHI | 11.77 |
| 4. | Elizabeth-Ann Shee Ru TAN | 23 SEP 2003 | SGP | 12.00 |
